"gene_id","class","toxin_family","Ctzot-CLP2364","Ctzot-CLP2366","Ctzot-CLP2383","Ctzot-CLP2903","Average"
"Ctzot-CLP2364_C6orf120_trinityContig29485_-_CDS","Nontoxin","NT",12.98,13.04,25.07,16.81,16.975
"Ctzot-CLP2364_C7orf55_trinityContig43921_-_CDS","Nontoxin","NT",97.24,131.8,106.7,98.75,108.6225
"Ctzot-CLP2364_C8orf59_trinityContig18008_-_CDS","Nontoxin","NT",52.32,43.91,58.24,44.19,49.665
"Ctzot-CLP2364_CCDC126_trinityContig12472_-_CDS","Nontoxin","NT",6.53,10.91,21.29,4.46,10.7975
"Ctzot-CLP2364_CCHCCHD7_trinityContig55218_-_CDS","Nontoxin","NT",25.08,47.14,44.19,19.81,34.055
"Ctzot-CLP2364_CD59_trinityContig59522_-_CDS","Nontoxin","NT",13.32,12.89,32.98,21.76,20.2375
"Ctzot-CLP2364_CaRegHSP1_trinityContig25991_-_CDS","Nontoxin","NT",3.15,3.22,1.71,6.46,3.635
"Ctzot-CLP2364_CaUptake-1_trinityContig54832_-_CDS","Nontoxin","NT",11.83,11.95,9.81,6.84,10.1075
"Ctzot-CLP2364_Canopy2_trinityContig17891_-_CDS","Nontoxin","NT",46.6,66.1,85.19,19.08,54.2425
"Ctzot-CLP2364_CarnitineAcylcarnitineCarrier-CACL_trinityContig10119_-_CDS","Nontoxin","NT",7.17,7.18,6.39,3.49,6.0575
"Ctzot-CLP2364_Ccd115_trinityContig14115_-_CDS","Nontoxin","NT",13.49,9.48,12.99,18.32,13.57
"Ctzot-CLP2364_CellDeath10_trinityContig3865_-_CDS","Nontoxin","NT",24.78,22.94,34.37,19.02,25.2775
"Ctzot-CLP2364_Chromobox3-1_trinityContig41014_-_CDS","Nontoxin","NT",12.83,15.19,37.83,15.29,20.285
"Ctzot-CLP2364_CitrateSyn_trinityContig50102_-_CDS","Nontoxin","NT",32.57,34.84,27.81,48.13,35.8375
"Ctzot-CLP2364_Claudin4-1_ngenContig3532_-_CDS","Nontoxin","NT",101.93,111.92,182.38,114.15,127.595
"Ctzot-CLP2364_ConsPlaMem_trinityContig33389_-_CDS","Nontoxin","NT",16.69,23.78,20.15,15.03,18.9125
"Ctzot-CLP2364_Corn4_trinityContig42363_-_CDS","Nontoxin","NT",11.57,17.22,23.88,16.86,17.3825
"Ctzot-CLP2364_Cornichon_trinityContig47569_-_CDS","Nontoxin","NT",25,34.77,31.3,32.37,30.86
"Ctzot-CLP2364_Cystatin-2_trinityContig9321_-_CDS","Nontoxin","NT",43.97,60,52.13,77.96,58.515
"Ctzot-CLP2364_CytCO5B_trinityContig58656_-_CDS","Nontoxin","NT",207.29,257.61,281.32,237.06,245.82
"Ctzot-CLP2364_CytCOVIIb_trinityContig27421_-_CDS","Nontoxin","NT",294.58,298.23,316.68,247.91,289.35
"Ctzot-CLP2364_DNADamage3_trinityContig9176_-_CDS","Nontoxin","NT",9.51,19.88,15.69,19.52,16.15
"Ctzot-CLP2364_Derlin2_trinityContig29378_-_CDS","Nontoxin","NT",84.31,102.37,124.84,45.24,89.19
"Ctzot-CLP2364_DnaJC7_trinityContig13520_-_CDS","Nontoxin","NT",7.23,3.8,12.39,7.17,7.6475
"Ctzot-CLP2364_EF-B2_trinityContig31864_-_CDS","Nontoxin","NT",122.17,123.89,127.77,111.69,121.38
"Ctzot-CLP2364_EF1_trinityContig53418_-_CDS","Nontoxin","NT",40.13,50.65,63.49,25.16,44.8575
"Ctzot-CLP2364_ER44_trinityContig39421_-_CDS","Nontoxin","NT",30.52,41.76,87.16,16.07,43.8775
"Ctzot-CLP2364_ETS_trinityContig12912_-_CDS","Nontoxin","NT",56.89,59.09,72.17,41.93,57.52
"Ctzot-CLP2364_ElongFattyAcid5_trinityContig54254_-_CDS","Nontoxin","NT",23.3,16.9,19.86,13.43,18.3725
"Ctzot-CLP2364_EndophilinB1_trinityContig55779_-_CDS","Nontoxin","NT",29.89,33.85,48.76,28.66,35.29
"Ctzot-CLP2364_EpithelCellAdh_trinityContig29383_-_CDS","Nontoxin","NT",119.19,86.2,208.14,118.95,133.12
"Ctzot-CLP2364_ErgosterolBioSyn-28_trinityContig60171_-_CDS","Nontoxin","NT",13.13,18,7.45,12.37,12.7375
"Ctzot-CLP2364_FAM3C_trinityContig13506_-_CDS","Nontoxin","NT",35.84,43.21,57.8,25.66,40.6275
"Ctzot-CLP2364_Flotillin1_trinityContig57362_-_CDS","Nontoxin","NT",7.47,6.74,8.37,10.73,8.3275
"Ctzot-CLP2364_Follistatin1_trinityContig20428_-_CDS","Nontoxin","NT",7.98,3.15,20.8,15.06,11.7475
"Ctzot-CLP2364_FumarylacetoacetateHyd2A_ngenContig3279_-_CDS","Nontoxin","NT",88.55,92.89,99.93,58.58,84.9875
"Ctzot-CLP2364_GH-TMP_ngenContig2433_-_CDS","Nontoxin","NT",24.96,21.18,26.93,40.58,28.4125
"Ctzot-CLP2364_GOT1B_ngenContig2531_-_CDS","Nontoxin","NT",22.85,28.72,32.47,10.46,23.625
"Ctzot-CLP2364_GProtein-g5_trinityContig2179_-_CDS","Nontoxin","NT",76.88,74,89.18,87.27,81.8325
"Ctzot-CLP2364_GlucFrucOxidoreductase2_trinityContig52988_-_CDS","Nontoxin","NT",10.01,6.54,4.53,10.2,7.82
"Ctzot-CLP2364_Glutaredoxin5_trinityContig6823_-_CDS","Nontoxin","NT",22.31,21.65,47.48,19.56,27.75
"Ctzot-CLP2364_GuanineBinding-g12_trinityContig7542_-_CDS","Nontoxin","NT",6.38,10.58,3.49,4.51,6.24
"Ctzot-CLP2364_HAGH_trinityContig36699_-_CDS","Nontoxin","NT",13.55,11.69,20.88,18.82,16.235
"Ctzot-CLP2364_HyoxiaUpReg1_trinityContig43308_-_CDS","Nontoxin","NT",133.92,206.78,229.4,112.73,170.7075
"Ctzot-CLP2364_InsulinInd2_trinityContig44095_-_CDS","Nontoxin","NT",16.21,26,31.34,8.11,20.415
"Ctzot-CLP2364_InterferonReg_trinityContig1512_-_CDS","Nontoxin","NT",8.67,11.99,15.43,17.23,13.33
"Ctzot-CLP2364_KIAA0247_trinityContig51132_-_CDS","Nontoxin","NT",2.79,1.98,1.21,0.74,1.68
"Ctzot-CLP2364_KishB_trinityContig2364_-_CDS","Nontoxin","NT",87.7,52.78,96.02,77.97,78.6175
"Ctzot-CLP2364_Krueppel3_trinityContig34150_-_CDS","Nontoxin","NT",5.91,3.26,4.86,4.64,4.6675
"Ctzot-CLP2364_LOC100567767_trinityContig59571_-_CDS","Nontoxin","NT",102.83,108.07,165.55,28.16,101.1525
"Ctzot-CLP2364_LOC4205791_trinityContig805_-_CDS","Nontoxin","NT",6.85,4.5,34.75,4.3,12.6
"Ctzot-CLP2364_LSm6_trinityContig5358_-_CDS","Nontoxin","NT",9.09,13.34,17.38,24.3,16.0275
"Ctzot-CLP2364_LeptinReceptor_trinityContig19491_-_CDS","Nontoxin","NT",10.31,12.39,23.12,18.02,15.96
"Ctzot-CLP2364_LeuRich8D_trinityContig34221_-_CDS","Nontoxin","NT",7.52,9.46,9.57,4.72,7.8175
"Ctzot-CLP2364_LeukemiaInh_trinityContig1558_-_CDS","Nontoxin","NT",11.41,11.95,15.6,7.64,11.65
"Ctzot-CLP2364_MalignantTCell_trinityContig25150_-_CDS","Nontoxin","NT",33.44,71.51,53.47,57.89,54.0775
"Ctzot-CLP2364_MethylsterolOx_ngenContig3141_-_CDS","Nontoxin","NT",36.85,17.5,25.08,8.23,21.915
"Ctzot-CLP2364_NADHDehydro-1a1_trinityContig43923_-_CDS","Nontoxin","NT",170.52,76.25,273.53,31.07,137.8425
"Ctzot-CLP2364_NADHDehydro-1b1_ngenContig662_-_CDS","Nontoxin","NT",121.38,184.67,281.37,101.19,172.1525
"Ctzot-CLP2364_NTF2-1_trinityContig59306_-_CDS","Nontoxin","NT",8.2,11.33,19.32,24.07,15.73
"Ctzot-CLP2364_Nexin16_trinityContig35158_-_CDS","Nontoxin","NT",4.73,4.61,6.84,4.1,5.07
"Ctzot-CLP2364_ORM1-1_trinityContig26058_-_CDS","Nontoxin","NT",8.33,6.46,9.06,6.07,7.48
"Ctzot-CLP2364_PDI-A5_trinityContig26566_-_CDS","Nontoxin","NT",27.55,26.37,40.29,13.45,26.915
"Ctzot-CLP2364_PDZK1-1_trinityContig8629_-_CDS","Nontoxin","NT",13.54,10.7,26.62,9.01,14.9675
"Ctzot-CLP2364_PINAGT-Y_trinityContig10898_-_CDS","Nontoxin","NT",10.69,11.8,11.72,7.36,10.3925
"Ctzot-CLP2364_Peroxiredoxin4_ngenContig1816_-_CDS","Nontoxin","NT",491.58,462.29,461.13,170.33,396.3325
"Ctzot-CLP2364_PhosGlycBioF_trinityContig16375_-_CDS","Nontoxin","NT",7.13,11.6,10.84,12.33,10.475
"Ctzot-CLP2364_Prolyl4Hyda2_trinityContig10855_-_CDS","Nontoxin","NT",15.65,12.39,18.24,7.82,13.525
"Ctzot-CLP2364_Proteasome-b3_ngenContig646_-_CDS","Nontoxin","NT",43.2,90.11,151.98,78.08,90.8425
"Ctzot-CLP2364_ProteasomeY_trinityContig13056_-_CDS","Nontoxin","NT",123.15,244.04,122.37,267.35,189.2275
"Ctzot-CLP2364_RESTCorepressor3_trinityContig45886_-_CDS","Nontoxin","NT",8.24,6.03,6.86,4.08,6.3025
"Ctzot-CLP2364_RNABinding47_ngenContig1806_-_CDS","Nontoxin","NT",52.23,38.27,31.56,30.91,38.2425
"Ctzot-CLP2364_RPABC4_trinityContig36004_-_CDS","Nontoxin","NT",9.2,99.05,81.81,69.58,64.91
"Ctzot-CLP2364_RhombDom1_trinityContig759_-_CDS","Nontoxin","NT",9.95,9.15,11.79,4.7,8.8975
"Ctzot-CLP2364_RpS10_trinityContig13960_-_CDS","Nontoxin","NT",1173.22,1633,1432.97,1283.02,1380.5525
"Ctzot-CLP2364_SAR1b_trinityContig5047_-_CDS","Nontoxin","NT",21.39,29.04,30.38,12.84,23.4125
"Ctzot-CLP2364_SFT2B_trinityContig59406_-_CDS","Nontoxin","NT",15.03,10.81,10.39,4.8,10.2575
"Ctzot-CLP2364_Sec61b_trinityContig42905_-_CDS","Nontoxin","NT",418.41,516.27,918.04,338.01,547.6825
"Ctzot-CLP2364_Sec61g_trinityContig30122_-_CDS","Nontoxin","NT",860.96,725.58,1508.57,340.95,859.015
"Ctzot-CLP2364_SerHydMeT2_trinityContig50151_-_CDS","Nontoxin","NT",42.19,37.69,25.62,42.62,37.03
"Ctzot-CLP2364_SerIncorporator5_trinityContig23455_-_CDS","Nontoxin","NT",6.4,6.29,10.37,6.57,7.4075
"Ctzot-CLP2364_SerThrKin-RIO1_trinityContig23479_-_CDS","Nontoxin","NT",6.18,7.33,7.1,4.81,6.355
"Ctzot-CLP2364_SolCarr30_trinityContig26601_-_CDS","Nontoxin","NT",43.7,44.35,32.12,30.18,37.5875
"Ctzot-CLP2364_Sulfotransferase6B1_trinityContig27374_-_CDS","Nontoxin","NT",90.3,87.56,59.84,14.52,63.055
"Ctzot-CLP2364_TComplex1g_trinityContig43226_-_CDS","Nontoxin","NT",37.23,24.83,47.69,56.5,41.5625
"Ctzot-CLP2364_TF-IIH-5_trinityContig10777_-_CDS","Nontoxin","NT",3.56,11.8,15.63,12.27,10.815
"Ctzot-CLP2364_TIF-4E1_trinityContig12775_-_CDS","Nontoxin","NT",48.89,53.05,33.53,31.06,41.6325
"Ctzot-CLP2364_TMBAXInh4_trinityContig28864_-_CDS","Nontoxin","NT",17.51,16.4,25.73,13.97,18.4025
"Ctzot-CLP2364_TMP-50B_trinityContig20638_-_CDS","Nontoxin","NT",4.18,4.9,4.55,2.22,3.9625
"Ctzot-CLP2364_TMP-63A_trinityContig43237_-_CDS","Nontoxin","NT",17.56,11.06,11.43,9.33,12.345
"Ctzot-CLP2364_TMP111_trinityContig14273_-_CDS","Nontoxin","NT",35.15,41.9,60.68,45.34,45.7675
"Ctzot-CLP2364_TMP180-2_trinityContig6273_-_CDS","Nontoxin","NT",6.44,13.71,19.64,9.74,12.3825
"Ctzot-CLP2364_TMP41B_trinityContig9679_-_CDS","Nontoxin","NT",127.17,95.13,187.46,88.69,124.6125
"Ctzot-CLP2364_TRIQK_trinityContig8941_-_CDS","Nontoxin","NT",32.19,33.25,48.75,20.09,33.57
"Ctzot-CLP2364_Tetraspanin-1_trinityContig47808_-_CDS","Nontoxin","NT",14.1,5.35,26.25,9.45,13.7875
"Ctzot-CLP2364_Thioredoxin-2_trinityContig54384_-_CDS","Nontoxin","NT",28.03,36.83,42.36,24.29,32.8775
"Ctzot-CLP2364_Trafficking6B_trinityContig37175_-_CDS","Nontoxin","NT",18.13,15.93,25.76,22.23,20.5125
"Ctzot-CLP2364_TranslocaseOMM_trinityContig15078_-_CDS","Nontoxin","NT",74.17,92.99,151.8,129.53,112.1225
"Ctzot-CLP2364_Translocator_trinityContig59357_-_CDS","Nontoxin","NT",58.66,99.72,75.15,63.05,74.145
"Ctzot-CLP2364_Trifunctional-b_trinityContig12653_-_CDS","Nontoxin","NT",22.09,34.79,27.18,30.46,28.63
"Ctzot-CLP2364_TrypRch_trinityContig58387_-_CDS","Nontoxin","NT",13.52,22.51,22.86,17.11,19
"Ctzot-CLP2364_TumorNecrosis1A_trinityContig9226_-_CDS","Nontoxin","NT",20.85,24.13,22.5,14.76,20.56
"Ctzot-CLP2364_UNC50-1_trinityContig32284_-_CDS","Nontoxin","NT",9.1,9.07,11.62,11.95,10.435
"Ctzot-CLP2364_UPF0639_trinityContig37333_-_CDS","Nontoxin","NT",5.12,0.27,1.11,0.31,1.7025
"Ctzot-CLP2364_UbCTermHydrolase46_trinityContig49786_-_CDS","Nontoxin","NT",10.49,12.06,9.78,8.74,10.2675
"Ctzot-CLP2364_UbLigMdm2_trinityContig59116_-_CDS","Nontoxin","NT",11.35,13.45,17.75,11.56,13.5275
"Ctzot-CLP2364_UpregSkMuGrth5_trinityContig57909_-_CDS","Nontoxin","NT",200.87,334.45,273.6,125.9,233.705
"Ctzot-CLP2364_YEATS-4_trinityContig49597_-_CDS","Nontoxin","NT",8.42,17.52,20.05,7.75,13.435
"Ctzot-CLP2364_YIPF2_trinityContig6106_-_CDS","Nontoxin","NT",22.89,29.32,24.46,26.47,25.785
"Ctzot-CLP2364_ZIP10_trinityContig37501_-_CDS","Nontoxin","NT",26.21,42.09,62.56,19.74,37.65
"Ctzot-CLP2364_ZIP9_ngenContig1556_-_CDS","Nontoxin","NT",36.23,30.66,32.95,25.87,31.4275
"Ctzot-CLP2364_ZincTran5_trinityContig28017_-_CDS","Nontoxin","NT",78.07,93.26,98.55,62.12,83
"Ctzot-CLP2364_dsRNAStauf1_trinityContig44149_-_CDS","Nontoxin","NT",58.11,58.59,44.52,30.58,47.95
"Ctzot-CLP2364_mFumarateHydratase_trinityContig38525_-_CDS","Nontoxin","NT",44.54,35.91,74.29,22.71,44.3625
"Ctzot-CLP2364_mOxoisovalerateDH-b_ngenContig2740_-_CDS","Nontoxin","NT",22.24,19.1,33.93,9.34,21.1525
"Ctzot-CLP2364_mRp63_trinityContig27649_-_CDS","Nontoxin","NT",26.26,11.78,36.57,24.97,24.895
"Ctzot-CLP2364_mRpL33_trinityContig59440_-_CDS","Nontoxin","NT",38.98,40.13,37.54,40.39,39.26
"Ctzot-CLP2364_mRpL48_trinityContig21689_-_CDS","Nontoxin","NT",14.14,18.74,20.16,26.01,19.7625
"Ctzot-CLP2364_mRpL55_trinityContig17936_-_CDS","Nontoxin","NT",10.94,33.41,51.28,19,28.6575
"Ctzot-CLP2364_mUniquinone8_trinityContig16353_-_CDS","Nontoxin","NT",15.94,31.69,27.98,16.81,23.105
"Ctzot-CLP2366_25OligSyn1_trinityContig6736_-_CDS","Nontoxin","NT",1.71,27.72,10.96,13.23,13.405
"Ctzot-CLP2366_ADP-Ribosylation1-1_trinityContig28180_-_CDS","Nontoxin","NT",7.41,5.97,3.5,6.92,5.95
"Ctzot-CLP2366_AGAT2_trinityContig31745_-_CDS","Nontoxin","NT",5.83,18.55,22.3,3.55,12.5575
"Ctzot-CLP2366_AuroraKin_trinityContig26502_-_CDS","Nontoxin","NT",7.26,10.15,14.13,12.15,10.9225
"Ctzot-CLP2366_Autophagy5_trinityContig28196_-_CDS","Nontoxin","NT",9.27,9.51,18.06,8.58,11.355
"Ctzot-CLP2366_C5orf43_trinityContig31567_-_CDS","Nontoxin","NT",14.37,11.95,25.15,20.82,18.0725
"Ctzot-CLP2366_CCDC134_trinityContig41493_-_CDS","Nontoxin","NT",25.75,36.77,46.62,29.06,34.55
"Ctzot-CLP2366_CD3-g_trinityContig52779_-_CDS","Nontoxin","NT",23.89,40.74,18.42,27.59,27.66
"Ctzot-CLP2366_CDC42se2_trinityContig38808_-_CDS","Nontoxin","NT",1.93,3.25,2.1,1.52,2.2
"Ctzot-CLP2366_ClassW_trinityContig47738_-_CDS","Nontoxin","NT",4.38,5.98,5.2,4.63,5.0475
"Ctzot-CLP2366_CycCO6B1_ngenContig2013_-_CDS","Nontoxin","NT",295.11,184.38,234.01,165.01,219.6275
"Ctzot-CLP2366_CysProt-ATG4A_trinityContig23177_-_CDS","Nontoxin","NT",14.74,14.69,14.04,4.61,12.02
"Ctzot-CLP2366_CytCO7C_ngenContig3947_-_CDS","Nontoxin","NT",622.89,647.19,727.82,733.38,682.82
"Ctzot-CLP2366_Dioxygenase_trinityContig22422_-_CDS","Nontoxin","NT",9.09,8.01,12.35,5.14,8.6475
"Ctzot-CLP2366_ENTPDPHydrolase4_trinityContig61063_-_CDS","Nontoxin","NT",9.44,10.15,12.65,6.57,9.7025
"Ctzot-CLP2366_EvoToll_trinityContig60125_-_CDS","Nontoxin","NT",12.29,16.1,12.67,14.12,13.795
"Ctzot-CLP2366_FAM173A_trinityContig14818_-_CDS","Nontoxin","NT",1.46,4.4,6.04,2.58,3.62
"Ctzot-CLP2366_FAM36A_trinityContig6838_-_CDS","Nontoxin","NT",10.48,9.81,26.29,21.29,16.9675
"Ctzot-CLP2366_FibronectinIII-3B_trinityContig2670_-_CDS","Nontoxin","NT",7.52,5.9,6.59,2.8,5.7025
"Ctzot-CLP2366_GlcNAcbGalB_trinityContig42880_-_CDS","Nontoxin","NT",4.69,5.95,4.22,1.75,4.1525
"Ctzot-CLP2366_HemeBinding1_trinityContig56209_-_CDS","Nontoxin","NT",7.4,22.05,27.16,18.15,18.69
"Ctzot-CLP2366_IMP-GPR155_trinityContig18849_-_CDS","Nontoxin","NT",13.83,11.4,13.28,9.36,11.9675
"Ctzot-CLP2366_KishA_trinityContig56201_-_CDS","Nontoxin","NT",117.88,64.2,180.85,51.74,103.6675
"Ctzot-CLP2366_LSM1U6_trinityContig281_-_CDS","Nontoxin","NT",3.13,14.79,12.94,7.02,9.47
"Ctzot-CLP2366_MgTransporter-NIPA2-1_trinityContig55797_-_CDS","Nontoxin","NT",7.51,5.73,10.27,6.18,7.4225
"Ctzot-CLP2366_MitFissionReg1_trinityContig9861_-_CDS","Nontoxin","NT",2.09,52.33,24.63,1.95,20.25
"Ctzot-CLP2366_MyeLeuk2_trinityContig31301_-_CDS","Nontoxin","NT",10.9,10.08,13.98,17.61,13.1425
"Ctzot-CLP2366_N-LysMethyltransferase-SMYD2_trinityContig22167_-_CDS","Nontoxin","NT",9.61,14.3,9,6.54,9.8625
"Ctzot-CLP2366_NucRibonucleoproteinG_ngenContig3453_-_CDS","Nontoxin","NT",188.62,248.33,367.8,256.47,265.305
"Ctzot-CLP2366_OMethyltransferase_trinityContig54336_-_CDS","Nontoxin","NT",33.19,18.23,31.05,19.17,25.41
"Ctzot-CLP2366_PP-1A_trinityContig17589_-_CDS","Nontoxin","NT",7.16,7.6,8.99,7.61,7.84
"Ctzot-CLP2366_PeroxisomalBiogen3_trinityContig31824_-_CDS","Nontoxin","NT",31.73,32.54,28,18.18,27.6125
"Ctzot-CLP2366_ProRichNRC2_trinityContig36482_-_CDS","Nontoxin","NT",18.16,28.2,26.11,15.96,22.1075
"Ctzot-CLP2366_ProSynthCoTr_trinityContig21210_-_CDS","Nontoxin","NT",7.75,5.2,6.37,6.25,6.3925
"Ctzot-CLP2366_Proteasome-b5_ngenContig3821_-_CDS","Nontoxin","NT",49.68,72.42,58.72,130.43,77.8125
"Ctzot-CLP2366_ROSM1_trinityContig2730_-_CDS","Nontoxin","NT",225.69,127.25,290.72,158.09,200.4375
"Ctzot-CLP2366_RibonucleaseP-p14-1_trinityContig22106_-_CDS","Nontoxin","NT",3.18,9.44,2.76,2.96,4.585
"Ctzot-CLP2366_RpL13a_trinityContig39830_-_CDS","Nontoxin","NT",528.42,766.86,1315.4,608.77,804.8625
"Ctzot-CLP2366_SEC14-1_trinityContig46026_-_CDS","Nontoxin","NT",7.94,9.91,20.33,12.03,12.5525
"Ctzot-CLP2366_SigPep1_ngenContig2471_-_CDS","Nontoxin","NT",440.49,624.86,462.15,198.74,431.56
"Ctzot-CLP2366_Sphingosine1_trinityContig55637_-_CDS","Nontoxin","NT",5.71,4.03,5.71,6.24,5.4225
"Ctzot-CLP2366_Sulfatase2_trinityContig38383_-_CDS","Nontoxin","NT",30.67,20.29,26.34,15.41,23.1775
"Ctzot-CLP2366_TIF-TFIID9_trinityContig7293_-_CDS","Nontoxin","NT",8.09,7.78,8.53,11.9,9.075
"Ctzot-CLP2366_TMP-106B_trinityContig56607_-_CDS","Nontoxin","NT",12.23,16.92,42.88,13.42,21.3625
"Ctzot-CLP2366_TMP-126A_trinityContig20243_-_CDS","Nontoxin","NT",20.24,61.75,42.63,37.53,40.5375
"Ctzot-CLP2366_TMP18_trinityContig11440_-_CDS","Nontoxin","NT",8.31,14.54,12.9,6.13,10.47
"Ctzot-CLP2366_Thioesterase4_trinityContig41555_-_CDS","Nontoxin","NT",5.43,9.82,7.69,8.41,7.8375
"Ctzot-CLP2366_Tm234_trinityContig6157_-_CDS","Nontoxin","NT",17.54,9.86,10.22,14.05,12.9175
"Ctzot-CLP2366_TubChaperoneE_trinityContig24894_-_CDS","Nontoxin","NT",4.23,9.65,9.91,7.97,7.94
"Ctzot-CLP2366_TumorDiffExp2_trinityContig51378_-_CDS","Nontoxin","NT",41.81,23.88,30.55,12.26,27.125
"Ctzot-CLP2366_ZF-330_ngenContig3338_-_CDS","Nontoxin","NT",21.39,21.46,30.65,17.69,22.7975
"Ctzot-CLP2366_ZFSwim7_trinityContig61210_-_CDS","Nontoxin","NT",7.72,7.27,13.55,15.04,10.895
"Ctzot-CLP2366_mMethylmalonicAciduriaD_trinityContig37293_-_CDS","Nontoxin","NT",7.41,7.58,9.08,6.44,7.6275
"Ctzot-CLP2366_mRpS29_trinityContig51836_-_CDS","Nontoxin","NT",9.2,20.91,34.67,22.03,21.7025
"Ctzot-CLP2366_mpsOneBinderKin3_trinityContig27942_-_CDS","Nontoxin","NT",29.96,19.19,36.12,17.85,25.78
"Ctzot-CLP2383_15kDaSeleno_trinityContig28455_-_CDS","Nontoxin","NT",250.81,202.62,457.59,207.58,279.65
"Ctzot-CLP2383_BrainI3_trinityContig13814_-_CDS","Nontoxin","NT",20.27,11.99,14.93,26.77,18.49
"Ctzot-CLP2383_C11orf67_ngenContig2365_-_CDS","Nontoxin","NT",33.29,27.07,39.41,14.28,28.5125
"Ctzot-CLP2383_C7orf59_trinityContig48595_-_CDS","Nontoxin","NT",45.16,33.81,30.57,136.06,61.4
"Ctzot-CLP2383_CDC42-1_trinityContig36720_-_CDS","Nontoxin","NT",2.49,2.08,2.72,29.78,9.2675
"Ctzot-CLP2383_Ccd91_trinityContig32994_-_CDS","Nontoxin","NT",10.99,16.67,13.53,17.53,14.68
"Ctzot-CLP2383_CoAReductase_trinityContig50888_-_CDS","Nontoxin","NT",8.95,5.28,7.69,5.76,6.92
"Ctzot-CLP2383_LysocardiolipinAT_trinityContig18892_-_CDS","Nontoxin","NT",4.3,3.69,5.14,6.05,4.795
"Ctzot-CLP2383_MajorVault_trinityContig9099_-_CDS","Nontoxin","NT",9.48,5.04,15.83,13.41,10.94
"Ctzot-CLP2383_MethylsterolOx_ngenContig3503_-_CDS","Nontoxin","NT",16.61,12.39,14.51,11.56,13.7675
"Ctzot-CLP2383_Mimecan_trinityContig42319_-_CDS","Nontoxin","NT",15.59,4.21,28.9,6.06,13.69
"Ctzot-CLP2383_NOXP20_ngenContig1158_-_CDS","Nontoxin","NT",41.77,62.73,83.38,56.28,61.04
"Ctzot-CLP2383_Nup50_trinityContig29482_-_CDS","Nontoxin","NT",13.47,18.16,14.62,25.4,17.9125
"Ctzot-CLP2383_PituitaryHOX_trinityContig33577_-_CDS","Nontoxin","NT",7.22,6.87,4.79,12.89,7.9425
"Ctzot-CLP2383_Plasminogen_trinityContig28467_-_CDS","Nontoxin","NT",4636.77,2843.74,6123.97,29095.7,10675.045
"Ctzot-CLP2383_RAD50hom1_trinityContig23920_-_CDS","Nontoxin","NT",4.57,6.67,11.53,9.92,8.1725
