"gene_id","class","toxin_family","Csasa-LIAP244","Average"
"Csasa-LIAP244_GILT_trinityContig21753_-_CDS","Nontoxin","NT",10.89,10.89
"Csasa-LIAP244_GOT1B_trinityContig1939_-_CDS","Nontoxin","NT",19.63,19.63
"Csasa-LIAP244_GProtein-g5_trinityContig28216_-_CDS","Nontoxin","NT",28.46,28.46
"Csasa-LIAP244_Glutaredoxin1_trinityContig27491_-_CDS","Nontoxin","NT",190.44,190.44
"Csasa-LIAP244_Glutaredoxin5_trinityContig23855_-_CDS","Nontoxin","NT",49.27,49.27
"Csasa-LIAP244_IMP-GPR155_trinityContig34521_-_CDS","Nontoxin","NT",19.05,19.05
"Csasa-LIAP244_KishA_trinityContig3606_-_CDS","Nontoxin","NT",74.91,74.91
"Csasa-LIAP244_KishB_trinityContig43277_-_CDS","Nontoxin","NT",28.22,28.22
"Csasa-LIAP244_LAMTOR2_trinityContig28865_-_CDS","Nontoxin","NT",118.29,118.29
"Csasa-LIAP244_LOC100567767_trinityContig5520_-_CDS","Nontoxin","NT",169.34,169.34
"Csasa-LIAP244_LOC4205791_trinityContig19867_-_CDS","Nontoxin","NT",21.82,21.82
"Csasa-LIAP244_LeptinReceptor_trinityContig27597_-_CDS","Nontoxin","NT",18.65,18.65
"Csasa-LIAP244_LeuRich8B_trinityContig20467_-_CDS","Nontoxin","NT",17.27,17.27
"Csasa-LIAP244_MethylsterolOx_ngenContig1206_-_CDS","Nontoxin","NT",97.26,97.26
"Csasa-LIAP244_Mimecan_trinityContig34064_-_CDS","Nontoxin","NT",8.21,8.21
"Csasa-LIAP244_MyeLeuk2_trinityContig13172_-_CDS","Nontoxin","NT",9.07,9.07
"Csasa-LIAP244_NADHDehydro-1b1_trinityContig8499_-_CDS","Nontoxin","NT",405,405
"Csasa-LIAP244_NDUFV3_trinityContig31119_-_CDS","Nontoxin","NT",66.99,66.99
"Csasa-LIAP244_NOXP20_trinityContig19731_-_CDS","Nontoxin","NT",24.73,24.73
"Csasa-LIAP244_NTF2-1_trinityContig6765_-_CDS","Nontoxin","NT",3.32,3.32
"Csasa-LIAP244_PDI-A5_trinityContig37732_-_CDS","Nontoxin","NT",30.09,30.09
"Csasa-LIAP244_PDZ11_trinityContig20398_-_CDS","Nontoxin","NT",40.09,40.09
"Csasa-LIAP244_PINAGT-Y_trinityContig3514_-_CDS","Nontoxin","NT",11.45,11.45
"Csasa-LIAP244_Peroxiredoxin4_trinityContig8346_-_CDS","Nontoxin","NT",305.47,305.47
"Csasa-LIAP244_PeroxisomalBiogen3_trinityContig24248_-_CDS","Nontoxin","NT",47.5,47.5
"Csasa-LIAP244_ProRichNRC2_trinityContig37313_-_CDS","Nontoxin","NT",15.42,15.42
"Csasa-LIAP244_ProteasomeY_trinityContig10509_-_CDS","Nontoxin","NT",80.57,80.57
"Csasa-LIAP244_Qil1_trinityContig29259_-_CDS","Nontoxin","NT",2.26,2.26
"Csasa-LIAP244_RING2_trinityContig26753_-_CDS","Nontoxin","NT",10.36,10.36
"Csasa-LIAP244_RNABinding47_trinityContig8616_-_CDS","Nontoxin","NT",28.45,28.45
"Csasa-LIAP244_ROSM1_trinityContig8532_-_CDS","Nontoxin","NT",211.47,211.47
"Csasa-LIAP244_RPABC4_trinityContig32393_-_CDS","Nontoxin","NT",0,0
"Csasa-LIAP244_RibonucleaseH1_trinityContig11075_-_CDS","Nontoxin","NT",13.64,13.64
"Csasa-LIAP244_RibonucleaseP-p14-1_trinityContig23984_-_CDS","Nontoxin","NT",3.06,3.06
"Csasa-LIAP244_RpP0_trinityContig8182_-_CDS","Nontoxin","NT",565.44,565.44
"Csasa-LIAP244_RpS10_ngenContig1311_-_CDS","Nontoxin","NT",452.59,452.59
"Csasa-LIAP244_ST3Gal-IV_trinityContig12132_-_CDS","Nontoxin","NT",32.88,32.88
"Csasa-LIAP244_Sec61g_trinityContig2717_-_CDS","Nontoxin","NT",1451.42,1451.42
"Csasa-LIAP244_SolCarr30_trinityContig8485_-_CDS","Nontoxin","NT",25.43,25.43
"Csasa-LIAP244_Sulfotransferase6B1_trinityContig37554_-_CDS","Nontoxin","NT",113.33,113.33
"Csasa-LIAP244_TComplex1g_trinityContig3034_-_CDS","Nontoxin","NT",18.4,18.4
"Csasa-LIAP244_TF-IIH-5_trinityContig37216_-_CDS","Nontoxin","NT",22.9,22.9
"Csasa-LIAP244_TIF-4E1_trinityContig41405_-_CDS","Nontoxin","NT",25.77,25.77
"Csasa-LIAP244_TMBAXInh4_trinityContig30370_-_CDS","Nontoxin","NT",19.49,19.49
"Csasa-LIAP244_TMP-50B_trinityContig13056_-_CDS","Nontoxin","NT",10.95,10.95
"Csasa-LIAP244_TMP111_trinityContig6965_-_CDS","Nontoxin","NT",56.61,56.61
"Csasa-LIAP244_TMP165_trinityContig21932_-_CDS","Nontoxin","NT",53.38,53.38
"Csasa-LIAP244_TMP41B_trinityContig26285_-_CDS","Nontoxin","NT",133.6,133.6
"Csasa-LIAP244_TMP59_trinityContig8454_-_CDS","Nontoxin","NT",197.05,197.05
"Csasa-LIAP244_TMP97_trinityContig24029_-_CDS","Nontoxin","NT",46.91,46.91
"Csasa-LIAP244_Tetraspanin-1_trinityContig35030_-_CDS","Nontoxin","NT",22.5,22.5
"Csasa-LIAP244_Thioredoxin-2_trinityContig1513_-_CDS","Nontoxin","NT",20.89,20.89
"Csasa-LIAP244_Tim23_trinityContig8939_-_CDS","Nontoxin","NT",37.68,37.68
"Csasa-LIAP244_TranslocaseOMM_trinityContig16777_-_CDS","Nontoxin","NT",51.66,51.66
"Csasa-LIAP244_TumorDiffExp2_trinityContig41362_-_CDS","Nontoxin","NT",41.22,41.22
"Csasa-LIAP244_UpregSkMuGrth5_trinityContig14442_-_CDS","Nontoxin","NT",45.63,45.63
"Csasa-LIAP244_WD-SAM-UBox1_trinityContig38052_-_CDS","Nontoxin","NT",9.15,9.15
"Csasa-LIAP244_YEATS-4_trinityContig38232_-_CDS","Nontoxin","NT",9.36,9.36
"Csasa-LIAP244_ZF-330_trinityContig19859_-_CDS","Nontoxin","NT",9.95,9.95
"Csasa-LIAP244_ZIP10_trinityContig40065_-_CDS","Nontoxin","NT",93.55,93.55
"Csasa-LIAP244_ZIP9_trinityContig36055_-_CDS","Nontoxin","NT",42.21,42.21
"Csasa-LIAP244_ZincTran5_trinityContig25186_-_CDS","Nontoxin","NT",81.84,81.84
"Csasa-LIAP244_cdc42-4_trinityContig24244_-_CDS","Nontoxin","NT",14.58,14.58
"Csasa-LIAP244_dsRNAStauf1_trinityContig13779_-_CDS","Nontoxin","NT",41.19,41.19
"Csasa-LIAP244_mFumarateHydratase_trinityContig7381_-_CDS","Nontoxin","NT",55.09,55.09
"Csasa-LIAP244_mOxoisovalerateDH-b_trinityContig42078_-_CDS","Nontoxin","NT",9.53,9.53
"Csasa-LIAP244_mRpL33_trinityContig23656_-_CDS","Nontoxin","NT",0,0
"Csasa-LIAP244_mRpL55_trinityContig42491_-_CDS","Nontoxin","NT",16.58,16.58
"Csasa-LIAP244_mUniquinone8_trinityContig11717_-_CDS","Nontoxin","NT",16.98,16.98
"TOXIN_extenderContig100||Cgodm-CLP2377trinity_LAAO-1_trinityContig61225_LAAO","Toxin","LAAO",16422.78,16422.78
"TOXIN_extenderContig101||Cgodm-CLP2359trinity_PLA2-2_trinityContig9907_PLA2","Toxin","PLA2",172801.02,172801.02
"TOXIN_extenderContig104||Cgodm-CLP2378_SVMPI_extContig352_SVMPI","Toxin","SVMPI",224246.68,224246.68
"TOXIN_extenderContig106||Ctzot-CLP2383ext_SVSP-4_extContig129_SVSP","Toxin","SVSP",4095.29,4095.29
"TOXIN_extenderContig110||Cgodm-CLP2388trinity_CRISP-1a_trinityContig666_CRISP","Toxin","CRISP",12246.07,12246.07
"TOXIN_extenderContig117||Cpetl-CLP2326ngen_SVSP-6_ngenContig10081_SVSP","Toxin","SVSP",2949.97,2949.97
"TOXIN_extenderContig120||Cpetl-CLP2327ext_SVMPII-1_extContig74_SVMPII","Toxin","SVMPII",68106.56,68106.56
"TOXIN_extenderContig123||Cgodm-CLP2359_SVMPII_extContig184_SVMPII","Toxin","SVMPII",22446.46,22446.46
"TOXIN_extenderContig132||Bnube-CLP1865_SVMPII_extContig421_SVMPII","Toxin","SVMPII",8501.38,8501.38
"TOXIN_extenderContig137||Cpetl-CLP2327ngen_PLA2_ngenContig18_PLA2","Toxin","PLA2",145135.57,145135.57
"TOXIN_extenderContig15||Cgodm-CLP2388ngen_SVSP-12_ngenContig2905_SVSP","Toxin","SVSP",39504.23,39504.23
"TOXIN_extenderContig219||Cgodm-CLP2388trinity_PLA2-1_trinityContig38961_PLA2","Toxin","PLA2",86859.84,86859.84
"TOXIN_extenderContig23||Ctzot-CLP2366trinity_CTL-9a_trinityContig42116_CTL","Toxin","CTL",3180.96,3180.96
"TOXIN_extenderContig34||Ctzot-CLP2366trinity_BPP-1a_trinityContig40065_BPP","Toxin","BPP",35877.69,35877.69
"TOXIN_extenderContig354||Ctzot-CLP2383ext_SVSP-1a_extContig341_SVSP","Toxin","SVSP",3260.82,3260.82
"TOXIN_extenderContig357||Cgodm-CLP2378ext_SVMPI-2_extContig17_SVMPI","Toxin","SVMPI",4597.87,4597.87
"TOXIN_ngenContig1072||Cgodm-CLP2362trinity_PDE-1a_trinityContig12505_PDE","Toxin","PDE",448.12,448.12
"TOXIN_ngenContig1075||Ctzot-CLP2383trinity_NGF-1_trinityContig20914_NGF","Toxin","NGF",1240.87,1240.87
"TOXIN_ngenContig1195||Cgodm-CLP2362_SVMPIII_extContig134_SVMPIII","Toxin","SVMPIII",5795.65,5795.65
"TOXIN_ngenContig1197||Cpetl-CLP2327ext_SVMPIII_extContig431_SVMPIII","Toxin","SVMPIII",1697.96,1697.96
"TOXIN_ngenContig1248||Ctzot-CLP2366ext_VEGF-1_extContig28_VEGF","Toxin","VEGF",549.63,549.63
"TOXIN_ngenContig542||Cgodm-CLP2378trinity_AChE-1_trinityContig20896_AChE","Toxin","AChE",1020.39,1020.39
"TOXIN_ngenContig684||T1DKS4_TCTP_CROHD_TCTP","Toxin","uncharacterised",342.76,342.76
"TOXIN_ngenContig846||Cpetl-CLP2327ext_SVSP_extContig251_SVSP","Toxin","SVSP",2397.3,2397.3
"TOXIN_ngenContig980||Cgodm-CLP2378trinity_NUC-1_trinityContig45011_NUC","Toxin","NUC",1781.14,1781.14
"TOXIN_trinityContig19224||Mmela-CLP2348_PLB-1_ngencontig2495_PLB","Toxin","PLB",2693.58,2693.58
"TOXIN_trinityContig7857||Cpetl-CLP2327ext_SVMPII_extContig175_SVMPII","Toxin","SVMPII",7063.72,7063.72
"TOXIN_trinityContig8100||Cgodm-CLP2388ngen_PDE-1a_ngenContig561_PDE","Toxin","PDE",628.58,628.58
"extenderContig290||sp|Q98953.1|","Nontoxin","NT",1705.77,1705.77
"extenderContig351||sp|P62241.2|","Nontoxin","NT",885.24,885.24
"extenderContig6||287486at32523","Nontoxin","NT",1220.84,1220.84
"ngenContig1002||253283at32523__Trypsin","Nontoxin","NT",1903.55,1903.55
"ngenContig1008||253283at32523__Trypsin","Nontoxin","NT",1964.71,1964.71
"ngenContig1023||253283at32523__Trypsin","Nontoxin","NT",264.56,264.56
"ngenContig1030||233324at32523__EMP24_GP25L","Nontoxin","NT",121.04,121.04
"ngenContig1035||207164at32523","Nontoxin","NT",73.35,73.35
"ngenContig1036||sp|P40429.2|","Nontoxin","NT",375.59,375.59
"ngenContig1043||sp|P14115.5|","Nontoxin","NT",536.11,536.11
"ngenContig1054||279702at32523__RRM_1","Nontoxin","NT",103.53,103.53
"ngenContig1066||sp|Q7Z2H8.1|","Nontoxin","NT",76,76
"ngenContig1068||sp|C0HL66.1|","Nontoxin","NT",69.24,69.24
"ngenContig1069||sp|C0HL66.1|","Nontoxin","NT",82.22,82.22
"ngenContig107||sp|A7YY49.1|","Nontoxin","NT",49.92,49.92
"ngenContig1090||sp|Q6DF80.1|","Nontoxin","NT",37.32,37.32
"ngenContig1092||Ribosomal_L6e","Nontoxin","NT",327.08,327.08
"ngenContig1098||72534at32523__MIF4G","Nontoxin","NT",66.13,66.13
"ngenContig1102||sp|P84175.2|","Nontoxin","NT",1691.45,1691.45
"ngenContig1103||sp|A2BDB0.1|","Nontoxin","NT",315.28,315.28
"ngenContig1108||256267at32523__RRM_1","Nontoxin","NT",158.62,158.62
"ngenContig1109||256267at32523__RRM_1","Nontoxin","NT",48.79,48.79
"ngenContig1113||sp|Q5ZJ00.1|","Nontoxin","NT",65.79,65.79
"ngenContig1118||182087at32523__GDA1_CD39","Nontoxin","NT",62.32,62.32
"ngenContig1122||sp|P63173.2|","Nontoxin","NT",208.74,208.74
"ngenContig1126||sp|Q5F3W3.1|","Nontoxin","NT",53.21,53.21
"ngenContig1127||sp|Q56JU9.2|","Nontoxin","NT",585.83,585.83
"ngenContig1128||sp|A1XQU7.1|","Nontoxin","NT",371.24,371.24
"ngenContig1131||sp|P62829.1|","Nontoxin","NT",1179.64,1179.64
"ngenContig1143||sp|P62851.1|","Nontoxin","NT",526.32,526.32
"ngenContig1145||sp|Q3SYW6.1|","Nontoxin","NT",44.42,44.42
"ngenContig1150||sp|P0DP23.1|","Nontoxin","NT",77.74,77.74
"ngenContig1151||sp|P46782.4|","Nontoxin","NT",249.42,249.42
"ngenContig1157||sp|B6V8E6.1|","Nontoxin","NT",50.4,50.4
"ngenContig115||123057at32523","Nontoxin","NT",31.22,31.22
"ngenContig1168||sp|Q9YGQ1.3|","Nontoxin","NT",224.39,224.39
"ngenContig1172||sp|P11884.1|","Nontoxin","NT",43.74,43.74
"ngenContig1175||sp|Q5R546.1|","Nontoxin","NT",49.56,49.56
"ngenContig1176||sp|P04354.3|","Nontoxin","NT",199.17,199.17
"ngenContig1178||sp|Q5ZIQ3.1|","Nontoxin","NT",44.25,44.25
"ngenContig1181||sp|P79781.3|","Nontoxin","NT",425.41,425.41
"ngenContig1200||Ribosomal_S30","Nontoxin","NT",458.33,458.33
"ngenContig1202||sp|Q9NZI5.2|","Nontoxin","NT",63.31,63.31
"ngenContig1207||sp|Q15417.1|","Nontoxin","NT",59.02,59.02
"ngenContig1209||sp|E2RH47.1|","Nontoxin","NT",387.95,387.95
"ngenContig1214||sp|Q09073.3|","Nontoxin","NT",0,0
"ngenContig1216||75314at32523__HSP90","Nontoxin","NT",70.11,70.11
"ngenContig1219||Ribosomal_S5","Nontoxin","NT",506.48,506.48
"ngenContig121||sp|P34743.1|","Nontoxin","NT",32.91,32.91
"ngenContig1225||sp|P80303.3|","Nontoxin","NT",698.76,698.76
"ngenContig123||sp|Q8HXY0.1|","Nontoxin","NT",46.62,46.62
"ngenContig1250||sp|Q9D1D4.1|","Nontoxin","NT",280.77,280.77
"ngenContig1253||sp|P46778.2|","Nontoxin","NT",510.05,510.05
"ngenContig1271||sp|P05023.1|","Nontoxin","NT",243.09,243.09
"ngenContig1277||sp|Q95212.1|","Nontoxin","NT",44.42,44.42
"ngenContig1278||sp|P14131.4|","Nontoxin","NT",486.6,486.6
"ngenContig1282||Gag_p30","Nontoxin","NT",92.65,92.65
"ngenContig1283||sp|Q08013.2|","Nontoxin","NT",178.04,178.04
"ngenContig1287||sp|P22451.2|","Nontoxin","NT",395.13,395.13
"ngenContig1292||sp|Q98TF6.1|","Nontoxin","NT",709.58,709.58
"ngenContig1293||233141at32523","Nontoxin","NT",78.31,78.31
"ngenContig1294||sp|P30932.2|","Nontoxin","NT",63.2,63.2
"ngenContig1295||sp|P70441.3|","Nontoxin","NT",42.37,42.37
"ngenContig1301||256267at32523__RRM_1","Nontoxin","NT",91.59,91.59
"ngenContig1310||sp|P27449.1|","Nontoxin","NT",135.07,135.07
"ngenContig1312||Linker_histone","Nontoxin","NT",55.06,55.06
"ngenContig1315||282964at32523__LYRIC","Nontoxin","NT",63,63
"ngenContig1320||sp|P61085.3|","Nontoxin","NT",48.76,48.76
"ngenContig1325||SRCR","Nontoxin","NT",122.08,122.08
"ngenContig1327||sp|Q0VD53.1|","Nontoxin","NT",34.96,34.96
"ngenContig1330||sp|P48440.1|","Nontoxin","NT",130.44,130.44
"ngenContig1335||sp|P63273.2|","Nontoxin","NT",619.07,619.07
"ngenContig1336||sp|Q5R440.2|","Nontoxin","NT",96.33,96.33
"ngenContig1337||sp|Q98TF5.1|","Nontoxin","NT",630.96,630.96
"ngenContig1339||sp|P62917.2|","Nontoxin","NT",389.89,389.89
"ngenContig1341||sp|Q90593.1|","Nontoxin","NT",360.94,360.94
"ngenContig1342||sp|Q5R5B6.1|","Nontoxin","NT",2996.84,2996.84
"ngenContig1354||sp|P82013.1|","Nontoxin","NT",150.71,150.71
"ngenContig1357||sp|P24049.3|","Nontoxin","NT",510.57,510.57
"ngenContig1360||213366at32523__Filament","Nontoxin","NT",95.83,95.83
"ngenContig1363||sp|P10126.3|","Nontoxin","NT",884.94,884.94
"ngenContig1364||sp|Q02543.2|","Nontoxin","NT",418.95,418.95
"ngenContig1370||sp|P32969.1|","Nontoxin","NT",335.14,335.14
"ngenContig137||215456at32523","Nontoxin","NT",35.63,35.63
"ngenContig1381||sp|P62277.2|","Nontoxin","NT",361.69,361.69
"ngenContig1393||253583at32523","Nontoxin","NT",133.36,133.36
"ngenContig1394||sp|Q29476.1|","Nontoxin","NT",109.94,109.94
"ngenContig1396||264741at32523__Gal-bind_lectin","Nontoxin","NT",90.77,90.77
"ngenContig1401||Ribosomal_L29e","Nontoxin","NT",767.02,767.02
"ngenContig1403||246399at32523","Nontoxin","NT",47.04,47.04
"ngenContig1404||151083at32523__DUF2353","Nontoxin","NT",76.93,76.93
"ngenContig1408||sp|P55263.2|","Nontoxin","NT",47.43,47.43
"ngenContig177||193058at32523","Nontoxin","NT",35.58,35.58
"ngenContig180||sp|P60902.2|","Nontoxin","NT",70.21,70.21
"ngenContig196||sp|Q99828.4|","Nontoxin","NT",39.73,39.73
"ngenContig200||288987at32523","Nontoxin","NT",59.32,59.32
"ngenContig21||sp|Q2EN81.1|","Nontoxin","NT",147.26,147.26
"ngenContig222||sp|Q9DBF7.2|","Nontoxin","NT",43.21,43.21
"ngenContig232||166773at32523","Nontoxin","NT",72.89,72.89
"ngenContig243||COX4","Nontoxin","NT",48.39,48.39
"ngenContig250||Ost5","Nontoxin","NT",289.01,289.01
"ngenContig261||Reticulon","Nontoxin","NT",37.03,37.03
"ngenContig27||sp|P61966.1|","Nontoxin","NT",47.08,47.08
"ngenContig287||DDRGK","Nontoxin","NT",59.13,59.13
"ngenContig289||130233at32523","Nontoxin","NT",43.93,43.93
"ngenContig304||sp|O35586.1|","Nontoxin","NT",43.66,43.66
"ngenContig317||119513at32523","Nontoxin","NT",32.05,32.05
"ngenContig320||sp|Q498C8.1|","Nontoxin","NT",84.29,84.29
"ngenContig326||sp|Q5ZJ73.1|","Nontoxin","NT",41.07,41.07
"ngenContig333||sp|Q5RAJ6.1|","Nontoxin","NT",59.39,59.39
"ngenContig343||ATP-synt_F6","Nontoxin","NT",69.42,69.42
"ngenContig344||sp|P62258.1|","Nontoxin","NT",53.63,53.63
"ngenContig34||227404at32523__Proteasome","Nontoxin","NT",59.77,59.77
"ngenContig382||245583at32523","Nontoxin","NT",40.49,40.49
"ngenContig401||sp|P24032.2|","Nontoxin","NT",87.35,87.35
"ngenContig419||sp|O00299.4|","Nontoxin","NT",55.07,55.07
"ngenContig425||sp|P56384.1|","Nontoxin","NT",53.19,53.19
"ngenContig429||sp|O15144.1|","Nontoxin","NT",51.44,51.44
"ngenContig430||255382at32523__FKBP_C","Nontoxin","NT",103.56,103.56
"ngenContig466||Ribosomal_S28e","Nontoxin","NT",184.82,184.82
"ngenContig46||260464at32523__Mt_ATP-synt_B","Nontoxin","NT",62.33,62.33
"ngenContig488||sp|Q5F339.1|","Nontoxin","NT",40.85,40.85
"ngenContig502||sp|Q5R507.2|","Nontoxin","NT",39.94,39.94
"ngenContig522||sp|O14880.1|","Nontoxin","NT",66.82,66.82
"ngenContig524||sp|Q9WUF4.1|","Nontoxin","NT",16.07,16.07
"ngenContig550||64217at32523__Sulfate_transp","Nontoxin","NT",63.89,63.89
"ngenContig551||sp|P61122.1|","Nontoxin","NT",453.92,453.92
"ngenContig557||sp|O60218.2|","Nontoxin","NT",72.6,72.6
"ngenContig561||sp|P62263.3|","Nontoxin","NT",437.59,437.59
"ngenContig565||sp|A0SXL6.1|","Nontoxin","NT",264.53,264.53
"ngenContig566||sp|Q58DT1.1|","Nontoxin","NT",496.92,496.92
"ngenContig567||sp|Q4V887.1|","Nontoxin","NT",205.22,205.22
"ngenContig568||sp|P62899.1|","Nontoxin","NT",392.6,392.6
"ngenContig570||sp|Q91XC8.3|","Nontoxin","NT",239.45,239.45
"ngenContig576||sp|Q90YA8.1|","Nontoxin","NT",934.3,934.3
"ngenContig580||sp|P08110.1|","Nontoxin","NT",106.28,106.28
"ngenContig583||TRAP-delta","Nontoxin","NT",593.48,593.48
"ngenContig591||sp|Q8JG64.1|","Nontoxin","NT",575.73,575.73
"ngenContig592||Ribosomal_L28e","Nontoxin","NT",344.1,344.1
"ngenContig593||sp|P79913.4|","Nontoxin","NT",161.47,161.47
"ngenContig595||284944at32523","Nontoxin","NT",208.01,208.01
"ngenContig597||sp|Q8BYI6.1|","Nontoxin","NT",215.33,215.33
"ngenContig600||sp|Q5RE15.2|","Nontoxin","NT",47.1,47.1
"ngenContig613||272037at32523__HMG_box_2","Nontoxin","NT",138.22,138.22
"ngenContig618||sp|O43736.2|","Nontoxin","NT",410.18,410.18
"ngenContig619||233324at32523__EMP24_GP25L","Nontoxin","NT",181.17,181.17
"ngenContig620||sp|Q9CZW4.2|","Nontoxin","NT",96.17,96.17
"ngenContig621||sp|P28687.1|","Nontoxin","NT",232.97,232.97
"ngenContig649||97286at32523","Nontoxin","NT",70.02,70.02
"ngenContig650||sp|Q5ZJ06.1|","Nontoxin","NT",59.04,59.04
"ngenContig656||sp|P62266.3|","Nontoxin","NT",289.54,289.54
"ngenContig657||sp|P62266.3|","Nontoxin","NT",172.94,172.94
"ngenContig665||262758at32523","Nontoxin","NT",63.25,63.25
