"gene_id","class","toxin_family","Cpetl-CLP2324","Cpetl-CLP2326","Cpetl-CLP2327","Average"
"Cpetl-CLP2324_GOT1B_trinityContig9823_-_CDS","Nontoxin","NT",15.96,16.73,15.87,16.1867
"Cpetl-CLP2324_GProtein-g5_trinityContig40811_-_CDS","Nontoxin","NT",83.52,39.9,40.21,54.5433
"Cpetl-CLP2324_GST-3_trinityContig27251_-_CDS","Nontoxin","NT",63.39,105.48,57.67,75.5133
"Cpetl-CLP2324_Glutaredoxin5_trinityContig47149_-_CDS","Nontoxin","NT",34.57,12.83,32.33,26.5767
"Cpetl-CLP2324_HemeBinding1_trinityContig39957_-_CDS","Nontoxin","NT",15.85,24.4,14.54,18.2633
"Cpetl-CLP2324_HyoxiaUpReg1_trinityContig13114_-_CDS","Nontoxin","NT",104.58,75.36,141.42,107.12
"Cpetl-CLP2324_KishA_trinityContig41990_-_CDS","Nontoxin","NT",36.19,59.91,23.69,39.93
"Cpetl-CLP2324_KishB_trinityContig7961_-_CDS","Nontoxin","NT",45.3,51.92,35.41,44.21
"Cpetl-CLP2324_LOC100567767_trinityContig14810_-_CDS","Nontoxin","NT",51.77,107.94,67.28,75.6633
"Cpetl-CLP2324_LOC4205791_trinityContig41224_-_CDS","Nontoxin","NT",11.96,6.14,17.48,11.86
"Cpetl-CLP2324_LSM1U6_trinityContig6697_-_CDS","Nontoxin","NT",3.94,7.01,1.48,4.1433
"Cpetl-CLP2324_LeptinReceptor_trinityContig15670_-_CDS","Nontoxin","NT",16.21,12.3,17.45,15.32
"Cpetl-CLP2324_MaleEnh1_trinityContig18649_-_CDS","Nontoxin","NT",21.2,16.31,21.63,19.7133
"Cpetl-CLP2324_MalignantTCell_trinityContig35451_-_CDS","Nontoxin","NT",47.6,37.61,42.09,42.4333
"Cpetl-CLP2324_MemSpanning4-2_ngenContig2036_-_CDS","Nontoxin","NT",77.26,95.95,82.07,85.0933
"Cpetl-CLP2324_MethylsterolOx_trinityContig39432_-_CDS","Nontoxin","NT",27.37,43.15,37.65,36.0567
"Cpetl-CLP2324_Methyltransferase5_trinityContig22893_-_CDS","Nontoxin","NT",10.75,19.82,10.1,13.5567
"Cpetl-CLP2324_NADHDehydro-1a11_trinityContig47542_-_CDS","Nontoxin","NT",21.43,30.89,26.21,26.1767
"Cpetl-CLP2324_NADHDehydro-1a1_trinityContig21875_-_CDS","Nontoxin","NT",117.23,207.84,97.77,140.9467
"Cpetl-CLP2324_NADHDehydro-1b1_trinityContig19887_-_CDS","Nontoxin","NT",289.6,314.2,220.95,274.9167
"Cpetl-CLP2324_NADPHP450_trinityContig45969_-_CDS","Nontoxin","NT",22.68,16.93,40.29,26.6333
"Cpetl-CLP2324_NOXP20_trinityContig206_-_CDS","Nontoxin","NT",44.83,55.36,47.74,49.31
"Cpetl-CLP2324_Nexin16_trinityContig18580_-_CDS","Nontoxin","NT",5.77,8.26,5.58,6.5367
"Cpetl-CLP2324_NucRibonucleoproteinG_trinityContig31162_-_CDS","Nontoxin","NT",128.21,194.72,166.32,163.0833
"Cpetl-CLP2324_Nup50_trinityContig15878_-_CDS","Nontoxin","NT",7.39,10.22,9.26,8.9567
"Cpetl-CLP2324_ORM1-1_trinityContig993_-_CDS","Nontoxin","NT",9.24,5.86,5.78,6.96
"Cpetl-CLP2324_PDZK1-1_trinityContig48808_-_CDS","Nontoxin","NT",16.89,14.44,27.31,19.5467
"Cpetl-CLP2324_Peptidyl-tRNAHydrolase2_trinityContig34623_-_CDS","Nontoxin","NT",3.83,18.86,9.1,10.5967
"Cpetl-CLP2324_Peroxiredoxin4_ngenContig2257_-_CDS","Nontoxin","NT",380.87,447.98,312.31,380.3867
"Cpetl-CLP2324_PhosGlycBioF_trinityContig9848_-_CDS","Nontoxin","NT",11.35,17.02,11.78,13.3833
"Cpetl-CLP2324_PituitaryHOX_trinityContig46950_-_CDS","Nontoxin","NT",8.43,10.11,10.14,9.56
"Cpetl-CLP2324_Proteasome-b3_trinityContig40149_-_CDS","Nontoxin","NT",65.53,63.15,73.49,67.39
"Cpetl-CLP2324_Proteasome-b5_trinityContig42968_-_CDS","Nontoxin","NT",21.96,32.15,33.9,29.3367
"Cpetl-CLP2324_ProteasomeY_trinityContig17218_-_CDS","Nontoxin","NT",85.01,136.96,111.02,110.9967
"Cpetl-CLP2324_ROSM1_trinityContig35671_-_CDS","Nontoxin","NT",181.51,256.9,202.78,213.73
"Cpetl-CLP2324_RPABC4_trinityContig26697_-_CDS","Nontoxin","NT",10.47,109.7,44.47,54.88
"Cpetl-CLP2324_RibonucT2_trinityContig41232_-_CDS","Nontoxin","NT",9.34,13.34,11.07,11.25
"Cpetl-CLP2324_RibonucleaseH1_trinityContig9357_-_CDS","Nontoxin","NT",17.2,23.86,21.01,20.69
"Cpetl-CLP2324_RpP0_trinityContig34853_-_CDS","Nontoxin","NT",1036.23,1151.22,1003.04,1063.4967
"Cpetl-CLP2324_SAR1b_trinityContig17204_-_CDS","Nontoxin","NT",14.12,13.07,18.24,15.1433
"Cpetl-CLP2324_SEC14-1_trinityContig38599_-_CDS","Nontoxin","NT",21.66,18.11,23.47,21.08
"Cpetl-CLP2324_SFT2B_trinityContig25882_-_CDS","Nontoxin","NT",15.26,7.87,12.89,12.0067
"Cpetl-CLP2324_SH3-1_trinityContig47174_-_CDS","Nontoxin","NT",139.51,150.72,147.2,145.81
"Cpetl-CLP2324_SH3-HSC84_trinityContig20633_-_CDS","Nontoxin","NT",9.36,10.44,13.11,10.97
"Cpetl-CLP2324_Sec61b_trinityContig45726_-_CDS","Nontoxin","NT",409.63,506.1,504,473.2433
"Cpetl-CLP2324_Sec61g_trinityContig11716_-_CDS","Nontoxin","NT",1164.57,685.74,1040.04,963.45
"Cpetl-CLP2324_Sec61gb_trinityContig11715_-_CDS","Nontoxin","NT",159.42,135.29,169.58,154.7633
"Cpetl-CLP2324_SerHydMeT2_trinityContig25080_-_CDS","Nontoxin","NT",28.67,46.53,26.4,33.8667
"Cpetl-CLP2324_SerIncorporator5_trinityContig17555_-_CDS","Nontoxin","NT",8.23,4.24,9.42,7.2967
"Cpetl-CLP2324_SerThrPP6_trinityContig42498_-_CDS","Nontoxin","NT",5.8,7.97,4.36,6.0433
"Cpetl-CLP2324_SmallCellAdh_trinityContig39538_-_CDS","Nontoxin","NT",26.54,23.85,23.37,24.5867
"Cpetl-CLP2324_SolCarr30_trinityContig11858_-_CDS","Nontoxin","NT",27.64,34.69,34.15,32.16
"Cpetl-CLP2324_Sulfatase2_trinityContig43997_-_CDS","Nontoxin","NT",16.32,18.76,15.96,17.0133
"Cpetl-CLP2324_Sulfotransferase6B1_trinityContig300_-_CDS","Nontoxin","NT",309.16,284.28,203.3,265.58
"Cpetl-CLP2324_Surfeit4-1_trinityContig2519_-_CDS","Nontoxin","NT",14.89,23.11,15.27,17.7567
"Cpetl-CLP2324_TCTP_trinityContig421_-_CDS","Nontoxin","NT",761.76,663.96,576.63,667.45
"Cpetl-CLP2324_TComplex1g_trinityContig23160_-_CDS","Nontoxin","NT",25.99,39.37,34.97,33.4433
"Cpetl-CLP2324_TF-IIH-5_trinityContig10657_-_CDS","Nontoxin","NT",11.51,13.07,20.9,15.16
"Cpetl-CLP2324_TF-LIM-LMO4_ngenContig736_-_CDS","Nontoxin","NT",41.77,22.82,8.69,24.4267
"Cpetl-CLP2324_TF-YBox_trinityContig772_-_CDS","Nontoxin","NT",375,284.99,347.36,335.7833
"Cpetl-CLP2324_TIF-4E1_trinityContig39266_-_CDS","Nontoxin","NT",41.01,38.25,55.74,45
"Cpetl-CLP2324_TMP-106B_trinityContig40131_-_CDS","Nontoxin","NT",41.77,21.08,41.8,34.8833
"Cpetl-CLP2324_TMP-188_trinityContig22530_-_CDS","Nontoxin","NT",2.22,1.76,0.83,1.6033
"Cpetl-CLP2324_TMP-63A_trinityContig13423_-_CDS","Nontoxin","NT",13.7,8.4,13.53,11.8767
"Cpetl-CLP2324_TMP165_trinityContig39202_-_CDS","Nontoxin","NT",50.13,46.97,60.57,52.5567
"Cpetl-CLP2324_TMP180-2_trinityContig45913_-_CDS","Nontoxin","NT",6.73,16.93,15.08,12.9133
"Cpetl-CLP2324_TMP59_trinityContig34113_-_CDS","Nontoxin","NT",190.54,205.9,151.95,182.7967
"Cpetl-CLP2324_Tetraspanin-1_trinityContig41500_-_CDS","Nontoxin","NT",11.86,38.23,15.75,21.9467
"Cpetl-CLP2324_Thioesterase4_trinityContig1296_-_CDS","Nontoxin","NT",3.7,3.18,5.29,4.0567
"Cpetl-CLP2324_Thioredoxin-2_trinityContig47547_-_CDS","Nontoxin","NT",14.89,16.35,14.85,15.3633
"Cpetl-CLP2324_Tim23_trinityContig48451_-_CDS","Nontoxin","NT",26.28,28.21,33.2,29.23
"Cpetl-CLP2324_Transcobalamin2_trinityContig36229_-_CDS","Nontoxin","NT",17.32,25.16,14.96,19.1467
"Cpetl-CLP2324_TranslocaseOMM_trinityContig45748_-_CDS","Nontoxin","NT",143.53,155.12,90.98,129.8767
"Cpetl-CLP2324_Translocator_trinityContig20552_-_CDS","Nontoxin","NT",56.85,95.26,57.8,69.97
"Cpetl-CLP2324_Tuftelin1_trinityContig38313_-_CDS","Nontoxin","NT",12.13,14.26,13.52,13.3033
"Cpetl-CLP2324_TumorNecrosis1A_trinityContig45960_-_CDS","Nontoxin","NT",18.85,14.17,16.88,16.6333
"Cpetl-CLP2324_Ub3_trinityContig14698_-_CDS","Nontoxin","NT",8.45,14.81,8.53,10.5967
"Cpetl-CLP2324_UbCTermHydrolase46_trinityContig220_-_CDS","Nontoxin","NT",7.03,7.53,9.6,8.0533
"Cpetl-CLP2324_UbLigMdm2_trinityContig48391_-_CDS","Nontoxin","NT",9.66,16.03,12.22,12.6367
"Cpetl-CLP2324_UpregSkMuGrth5_trinityContig15694_-_CDS","Nontoxin","NT",38.6,257,108.89,134.83
"Cpetl-CLP2324_Wnt5a_trinityContig940_-_CDS","Nontoxin","NT",6.59,3.35,8.43,6.1233
"Cpetl-CLP2324_YEATS-4_trinityContig15268_-_CDS","Nontoxin","NT",8.24,12.98,7.37,9.53
"Cpetl-CLP2324_ZF-330_trinityContig38602_-_CDS","Nontoxin","NT",32.28,26.61,33.54,30.81
"Cpetl-CLP2324_ZIP10_trinityContig9537_-_CDS","Nontoxin","NT",27.47,16.43,48.64,30.8467
"Cpetl-CLP2324_ZincTran5_trinityContig1199_-_CDS","Nontoxin","NT",71.26,59.71,78.43,69.8
"Cpetl-CLP2324_calmegin_trinityContig41490_-_CDS","Nontoxin","NT",11.62,8.47,17.71,12.6
"Cpetl-CLP2324_dnaJ-B9_trinityContig23673_-_CDS","Nontoxin","NT",107.53,71.32,173.03,117.2933
"Cpetl-CLP2324_mMethylmalonicAciduriaD_trinityContig11266_-_CDS","Nontoxin","NT",9.15,6.66,9.2,8.3367
"Cpetl-CLP2324_mRp63_trinityContig41098_-_CDS","Nontoxin","NT",24.25,48.33,17.26,29.9467
"Cpetl-CLP2324_mRpL33_trinityContig32242_-_CDS","Nontoxin","NT",37.3,50.81,28.76,38.9567
"Cpetl-CLP2324_mRpL48_trinityContig48817_-_CDS","Nontoxin","NT",11.72,21.2,15.99,16.3033
"Cpetl-CLP2324_mRpL55_trinityContig46693_-_CDS","Nontoxin","NT",24.36,25,31.38,26.9133
"Cpetl-CLP2324_mRpS11_trinityContig19968_-_CDS","Nontoxin","NT",8.85,16.89,5.4,10.38
"Cpetl-CLP2324_mRpS29_trinityContig49222_-_CDS","Nontoxin","NT",7.64,18.14,11.51,12.43
"Cpetl-CLP2324_selenoproteinU_trinityContig38738_-_CDS","Nontoxin","NT",81.76,91.76,85.49,86.3367
"Cpetl-CLP2324_stAR4_trinityContig10567_-_CDS","Nontoxin","NT",3.88,2.78,6.92,4.5267
"Cpetl-CLP2326_ADP-Ribosylation1-1_trinityContig88465_-_CDS","Nontoxin","NT",3.37,3.95,2.66,3.3267
"Cpetl-CLP2326_ATPSyn-f_ngenContig7537_-_CDS","Nontoxin","NT",196.3,344.48,274.7,271.8267
"Cpetl-CLP2326_AndrogenInd1_trinityContig73835_-_CDS","Nontoxin","NT",7.99,7.17,6.91,7.3567
"Cpetl-CLP2326_Armadillo1_trinityContig81217_-_CDS","Nontoxin","NT",3.24,3.03,5.61,3.96
"Cpetl-CLP2326_BRCA1-1_trinityContig5911_-_CDS","Nontoxin","NT",14.56,5.31,12.06,10.6433
"Cpetl-CLP2326_C12orf73_trinityContig90421_-_CDS","Nontoxin","NT",4.64,3.99,10.05,6.2267
"Cpetl-CLP2326_C16orf70_trinityContig67632_-_CDS","Nontoxin","NT",4.56,4.4,4.26,4.4067
"Cpetl-CLP2326_C17orf89_trinityContig68614_-_CDS","Nontoxin","NT",0,4.9,4.18,3.0267
"Cpetl-CLP2326_C3orf78_trinityContig43049_-_CDS","Nontoxin","NT",8.69,24.2,14.15,15.68
"Cpetl-CLP2326_C6orf192_trinityContig29518_-_CDS","Nontoxin","NT",1.79,2.87,2.43,2.3633
"Cpetl-CLP2326_C8orf59_ngenContig825_-_CDS","Nontoxin","NT",51.19,44.43,55.78,50.4667
"Cpetl-CLP2326_CCDC134_trinityContig78559_-_CDS","Nontoxin","NT",17.13,18.63,15.51,17.09
"Cpetl-CLP2326_CDC42-1_trinityContig91788_-_CDS","Nontoxin","NT",2.64,5.53,11.63,6.6
"Cpetl-CLP2326_CDPglyceroltrans_trinityContig4886_-_CDS","Nontoxin","NT",2.76,2.87,3.45,3.0267
"Cpetl-CLP2326_CIKS_trinityContig86520_-_CDS","Nontoxin","NT",6.88,6.15,6.48,6.5033
"Cpetl-CLP2326_CarnOAcet_trinityContig36764_-_CDS","Nontoxin","NT",2.74,3.8,4.6,3.7133
"Cpetl-CLP2326_Ccd13_ngenContig7192_-_CDS","Nontoxin","NT",5.59,9.65,7.79,7.6767
"Cpetl-CLP2326_Ccd91_trinityContig24062_-_CDS","Nontoxin","NT",6.51,7.78,5.48,6.59
"Cpetl-CLP2326_CdK2_trinityContig87739_-_CDS","Nontoxin","NT",10.74,12.08,13.2,12.0067
"Cpetl-CLP2326_CellDeath10_trinityContig11694_-_CDS","Nontoxin","NT",13.44,11.84,13.74,13.0067
"Cpetl-CLP2326_ClassW_trinityContig98808_-_CDS","Nontoxin","NT",4.26,5.25,3.73,4.4133
"Cpetl-CLP2326_CoAReductase_trinityContig27561_-_CDS","Nontoxin","NT",3.73,4.89,6.56,5.06
"Cpetl-CLP2326_CoenzymeQBinding-COQ10-B_trinityContig85280_-_CDS","Nontoxin","NT",3.93,2.74,1.9,2.8567
"Cpetl-CLP2326_Copine2_trinityContig95143_-_CDS","Nontoxin","NT",5.68,6.38,7.41,6.49
"Cpetl-CLP2326_Corn4_trinityContig592_-_CDS","Nontoxin","NT",7.27,12.2,12.26,10.5767
"Cpetl-CLP2326_CysProt-ATG4A_trinityContig4537_-_CDS","Nontoxin","NT",20.8,15.31,12.65,16.2533
"Cpetl-CLP2326_Cystatin_trinityContig98014_-_CDS","Nontoxin","NT",28.99,33.38,34,32.1233
"Cpetl-CLP2326_CytCCuChap_trinityContig47247_-_CDS","Nontoxin","NT",126.03,240.18,311.31,225.84
"Cpetl-CLP2326_CytCO7A2_trinityContig11295_-_CDS","Nontoxin","NT",28.72,60.56,58.62,49.3
"Cpetl-CLP2326_DKFZP459D1918_trinityContig41487_-_CDS","Nontoxin","NT",14.25,9.78,14.42,12.8167
"Cpetl-CLP2326_DehydrocholesterolRed_trinityContig20817_-_CDS","Nontoxin","NT",2.4,8.9,6.44,5.9133
"Cpetl-CLP2326_Derlin2_trinityContig67878_-_CDS","Nontoxin","NT",38.69,54.57,65.45,52.9033
"Cpetl-CLP2326_DnaJC7_trinityContig8736_-_CDS","Nontoxin","NT",9.4,7.13,14.44,10.3233
"Cpetl-CLP2326_ENTPDPHydrolase4_trinityContig61407_-_CDS","Nontoxin","NT",4.72,5.69,5.91,5.44
"Cpetl-CLP2326_ES1_trinityContig39264_-_CDS","Nontoxin","NT",1.39,3.6,4.43,3.14
"Cpetl-CLP2326_ElongFattyAcid5_trinityContig86367_-_CDS","Nontoxin","NT",9.27,5.65,10.23,8.3833
"Cpetl-CLP2326_FAM36A_trinityContig74468_-_CDS","Nontoxin","NT",14.37,21.21,15.16,16.9133
"Cpetl-CLP2326_Flotillin1_trinityContig45836_-_CDS","Nontoxin","NT",5.76,7.75,10.27,7.9267
"Cpetl-CLP2326_Follistatin1_trinityContig25772_-_CDS","Nontoxin","NT",4.83,9.31,11.1,8.4133
"Cpetl-CLP2326_FumarylacetoacetateHyd2A_trinityContig67323_-_CDS","Nontoxin","NT",67.71,65.48,86.49,73.2267
"Cpetl-CLP2326_GILT_trinityContig18364_-_CDS","Nontoxin","NT",6.05,11.29,14.13,10.49
"Cpetl-CLP2326_Galactosyltransferase3_trinityContig61227_-_CDS","Nontoxin","NT",8.04,11.94,4.72,8.2333
"Cpetl-CLP2326_GuanineBinding-g12_trinityContig35549_-_CDS","Nontoxin","NT",3.42,4.34,7.47,5.0767
"Cpetl-CLP2326_HAGH_trinityContig41201_-_CDS","Nontoxin","NT",12.46,10.59,13.84,12.2967
"Cpetl-CLP2326_HypPro2_trinityContig55995_-_CDS","Nontoxin","NT",8.46,10.42,13.17,10.6833
"Cpetl-CLP2326_IMP-GPR155_trinityContig85471_-_CDS","Nontoxin","NT",11.48,5.62,10.67,9.2567
"Cpetl-CLP2326_InsulinGF-5_trinityContig60750_-_CDS","Nontoxin","NT",1.58,4.92,4.58,3.6933
"Cpetl-CLP2326_InterferonReg_trinityContig16398_-_CDS","Nontoxin","NT",4.41,4.5,6.55,5.1533
"Cpetl-CLP2326_LCM1_trinityContig56953_-_CDS","Nontoxin","NT",7.29,8.3,7.83,7.8067
"Cpetl-CLP2326_LOC100472209_trinityContig96789_-_CDS","Nontoxin","NT",4.12,4.54,3.46,4.04
"Cpetl-CLP2326_LOC100492755_trinityContig58814_-_CDS","Nontoxin","NT",9.76,8.16,10.51,9.4767
"Cpetl-CLP2326_LSm6_ngenContig5221_-_CDS","Nontoxin","NT",4.82,7.03,31.89,14.58
"Cpetl-CLP2326_LethalGiantLarvae2-2_trinityContig70167_-_CDS","Nontoxin","NT",4.02,3.97,5.32,4.4367
"Cpetl-CLP2326_LeuRich8D_trinityContig35151_-_CDS","Nontoxin","NT",6.38,6.96,9.69,7.6767
"Cpetl-CLP2326_LeukemiaInh_trinityContig58505_-_CDS","Nontoxin","NT",7.7,7.44,9.37,8.17
"Cpetl-CLP2326_LipoylSyn_trinityContig49126_-_CDS","Nontoxin","NT",7.3,12.53,9.39,9.74
"Cpetl-CLP2326_MTERF1_trinityContig45211_-_CDS","Nontoxin","NT",1.49,2.15,0.91,1.5167
"Cpetl-CLP2326_Man9GlcNAc2_trinityContig75620_-_CDS","Nontoxin","NT",1.37,2.99,3.82,2.7267
"Cpetl-CLP2326_MemSpanning4-1_ngenContig3634_-_CDS","Nontoxin","NT",14.32,23.77,21.17,19.7533
"Cpetl-CLP2326_MgTransporter-NIPA2-1_trinityContig82585_-_CDS","Nontoxin","NT",5.34,5.43,7.27,6.0133
"Cpetl-CLP2326_Mimecan_trinityContig25731_-_CDS","Nontoxin","NT",9.35,4.95,11.23,8.51
"Cpetl-CLP2326_MyeLeuk2_trinityContig2138_-_CDS","Nontoxin","NT",8.55,12.83,11.11,10.83
"Cpetl-CLP2326_N-LysMethyltransferase-SMYD2_trinityContig33034_-_CDS","Nontoxin","NT",5.66,7.02,5.11,5.93
"Cpetl-CLP2326_NDUFV3_trinityContig1912_-_CDS","Nontoxin","NT",59.28,91.84,80.84,77.32
"Cpetl-CLP2326_NMD3_trinityContig76406_-_CDS","Nontoxin","NT",6.59,4.83,5.53,5.65
"Cpetl-CLP2326_NTF2-1_ngenContig6140_-_CDS","Nontoxin","NT",5.73,8.81,13.68,9.4067
"Cpetl-CLP2326_OMethyltransferase_trinityContig6080_-_CDS","Nontoxin","NT",14.45,19.08,11.73,15.0867
"Cpetl-CLP2326_PAC2_trinityContig73218_-_CDS","Nontoxin","NT",4.88,7.24,2.62,4.9133
