"gene_id","class","toxin_family","Cgodm-CLP2359","Cgodm-CLP2360","Cgodm-CLP2362","Cgodm-CLP2377","Cgodm-CLP2378","Cgodm-CLP2388","Average"
"Cgodm-CLP2359_ElongFattyAcid5_trinityContig8794_-_CDS","Nontoxin","NT",8.58,17.84,20.97,47.23,16.99,24.5,22.685
"Cgodm-CLP2359_EpithelCellAdh_trinityContig14305_-_CDS","Nontoxin","NT",37.88,77.61,85.51,421.98,74.58,209.37,151.155
"Cgodm-CLP2359_FAM3C_trinityContig6057_-_CDS","Nontoxin","NT",18,31.41,26.92,43.03,26.52,48.69,32.4283
"Cgodm-CLP2359_Follistatin1_trinityContig36918_-_CDS","Nontoxin","NT",6.28,19.52,13.96,11.38,11.88,26.71,14.955
"Cgodm-CLP2359_FumarylacetoacetateHyd2A_trinityContig34358_-_CDS","Nontoxin","NT",51.57,52.89,54.91,89.29,56.89,200.37,84.32
"Cgodm-CLP2359_GH-TMP_trinityContig26982_-_CDS","Nontoxin","NT",11.5,12.48,14.32,45.04,18.43,27.29,21.51
"Cgodm-CLP2359_GProtein-g5_trinityContig2944_-_CDS","Nontoxin","NT",53.12,53.39,57.19,146.05,50.77,82.08,73.7667
"Cgodm-CLP2359_Glutaredoxin1_ngenContig1551_-_CDS","Nontoxin","NT",103.53,288.46,161.74,218.86,91.07,269.27,188.8217
"Cgodm-CLP2359_Glutaredoxin5_trinityContig25107_-_CDS","Nontoxin","NT",12.84,19.35,24.01,69.8,38.78,26.85,31.9383
"Cgodm-CLP2359_HAGH_trinityContig4191_-_CDS","Nontoxin","NT",12.68,12.38,13.65,25.92,14.43,28.6,17.9433
"Cgodm-CLP2359_HSP10_trinityContig13655_-_CDS","Nontoxin","NT",10.8,57.37,38.27,140.33,44.97,97.41,64.8583
"Cgodm-CLP2359_HemeBinding1_trinityContig19326_-_CDS","Nontoxin","NT",10.11,17.32,16.33,39.49,10.26,22.15,19.2767
"Cgodm-CLP2359_HyoxiaUpReg1_ngenContig1722_-_CDS","Nontoxin","NT",94.29,167.31,115.2,254.11,173.88,223.2,171.3317
"Cgodm-CLP2359_InsulinInd2_trinityContig9784_-_CDS","Nontoxin","NT",5.65,12,9.7,19.36,12.77,16.05,12.5883
"Cgodm-CLP2359_KishA_trinityContig20516_-_CDS","Nontoxin","NT",28.7,72.44,40.99,235.52,23.91,79.33,80.1483
"Cgodm-CLP2359_KishB_trinityContig15399_-_CDS","Nontoxin","NT",29.84,82.03,56.11,172.25,50.01,125.19,85.905
"Cgodm-CLP2359_LOC100567767_trinityContig29655_-_CDS","Nontoxin","NT",35.43,82.03,75.75,229.66,47.63,175.26,107.6267
"Cgodm-CLP2359_LeukemiaInh_trinityContig18142_-_CDS","Nontoxin","NT",10.85,16.91,12.88,17.63,9.68,20.45,14.7333
"Cgodm-CLP2359_MaleEnh1_trinityContig32092_-_CDS","Nontoxin","NT",18.99,19.22,19.67,29.37,16.24,42.81,24.3833
"Cgodm-CLP2359_MalignantTCell_trinityContig35453_-_CDS","Nontoxin","NT",20.95,36.15,32.02,116.59,39.93,69.96,52.6
"Cgodm-CLP2359_MemSpanning4-2_trinityContig39275_-_CDS","Nontoxin","NT",23.93,53.1,56.04,68.26,33.54,86.94,53.635
"Cgodm-CLP2359_MethylsterolOx_ngenContig468_-_CDS","Nontoxin","NT",21.28,81.78,165.39,127.09,54.76,37.22,81.2533
"Cgodm-CLP2359_MicrotubuleReg1_trinityContig39440_-_CDS","Nontoxin","NT",5.32,8.7,15.3,11.13,10.2,8.82,9.9117
"Cgodm-CLP2359_NADH-DH1a-7_trinityContig17273_-_CDS","Nontoxin","NT",10.21,13.83,10.77,24.22,19.7,49.55,21.38
"Cgodm-CLP2359_NADHDehydro-1a1_trinityContig25020_-_CDS","Nontoxin","NT",31.29,94.3,51.91,240.63,19.37,139.23,96.1217
"Cgodm-CLP2359_NADHDehydro-1b1_trinityContig21576_-_CDS","Nontoxin","NT",88.84,151.18,116.9,282.3,66.43,144.59,141.7067
"Cgodm-CLP2359_NDUFV3_trinityContig40180_-_CDS","Nontoxin","NT",25.24,36.31,61.86,98.43,52.3,50.03,54.0283
"Cgodm-CLP2359_NOXP20_ngenContig1191_-_CDS","Nontoxin","NT",33.16,32.18,68.58,78.92,64.2,66.36,57.2333
"Cgodm-CLP2359_NucRibonucleoproteinG_trinityContig22338_-_CDS","Nontoxin","NT",35.84,83.27,100.6,424.27,96.75,129.38,145.0183
"Cgodm-CLP2359_PhosGlycBioF_trinityContig36958_-_CDS","Nontoxin","NT",7.38,16.51,17.75,9.64,7.19,15.48,12.325
"Cgodm-CLP2359_PhosphatidylNtransP_trinityContig24256_-_CDS","Nontoxin","NT",3.83,2.16,3.9,5.91,4.63,3.73,4.0267
"Cgodm-CLP2359_PituitaryHOX_trinityContig31898_-_CDS","Nontoxin","NT",10.28,10.97,7.85,9.77,16.1,12.57,11.2567
"Cgodm-CLP2359_Proteasome-b3_trinityContig10937_-_CDS","Nontoxin","NT",20.42,36.93,44.53,112.86,65.57,62.4,57.1183
"Cgodm-CLP2359_Qil1_trinityContig19298_-_CDS","Nontoxin","NT",5.8,1,11.67,23.51,6.38,24.92,12.2133
"Cgodm-CLP2359_ROSM1_trinityContig15955_-_CDS","Nontoxin","NT",80.02,77.54,114.56,394.67,65.28,190.18,153.7083
"Cgodm-CLP2359_RPABC4_trinityContig29196_-_CDS","Nontoxin","NT",25.42,10.57,38.24,0,15.03,110.75,33.335
"Cgodm-CLP2359_RibonucT2_trinityContig32591_-_CDS","Nontoxin","NT",5.08,9.98,11.32,10.71,10.09,10.15,9.555
"Cgodm-CLP2359_RibonucleaseH1_trinityContig1202_-_CDS","Nontoxin","NT",5.65,16.44,16.04,33.6,20.11,23.27,19.185
"Cgodm-CLP2359_RpL36_trinityContig12790_-_CDS","Nontoxin","NT",518.84,1042.14,892.05,2477.98,591.09,1796.53,1219.7717
"Cgodm-CLP2359_RpP0_ngenContig1570_-_CDS","Nontoxin","NT",693.59,586.28,1511.35,2196.81,700.12,2932.39,1436.7567
"Cgodm-CLP2359_RpS10_trinityContig33638_-_CDS","Nontoxin","NT",346.84,742.28,701.79,2277.59,454.19,1404.17,987.81
"Cgodm-CLP2359_Sec61b_trinityContig20107_-_CDS","Nontoxin","NT",130.48,169.41,290.4,565.13,370.67,376.19,317.0467
"Cgodm-CLP2359_Sec61g_trinityContig6248_-_CDS","Nontoxin","NT",127.8,551.24,464.02,1042.96,640.46,821.97,608.075
"Cgodm-CLP2359_Sec61gb_trinityContig6249_-_CDS","Nontoxin","NT",15.71,84.12,55.97,162.89,53.38,112.81,80.8133
"Cgodm-CLP2359_SerHydMeT2_trinityContig1984_-_CDS","Nontoxin","NT",14.66,18.12,31.64,48.92,44.44,133.79,48.595
"Cgodm-CLP2359_SmallCellAdh_trinityContig34436_-_CDS","Nontoxin","NT",12.75,19.23,19.81,29.38,12.51,5.98,16.61
"Cgodm-CLP2359_SolCarr30_trinityContig38711_-_CDS","Nontoxin","NT",19.43,38.46,33.1,29.84,31.77,49.23,33.6383
"Cgodm-CLP2359_SolCarr39_trinityContig30787_-_CDS","Nontoxin","NT",65.11,133.71,118.85,88.1,50.09,146.38,100.3733
"Cgodm-CLP2359_SuccCoALig_trinityContig21061_-_CDS","Nontoxin","NT",11.06,20,26.96,44.02,23.41,46.07,28.5867
"Cgodm-CLP2359_TIF-4E1_trinityContig18554_-_CDS","Nontoxin","NT",41.44,39.75,54.11,54.73,31.93,245.39,77.8917
"Cgodm-CLP2359_TMP111_trinityContig14303_-_CDS","Nontoxin","NT",21.05,49.88,48.2,49.45,36.74,53.4,43.12
"Cgodm-CLP2359_TMP165_trinityContig31063_-_CDS","Nontoxin","NT",59.21,146.13,195.5,143.39,91.77,153.02,131.5033
"Cgodm-CLP2359_TMP180-2_trinityContig29256_-_CDS","Nontoxin","NT",9.38,14.25,8.34,4.83,11.37,25.18,12.225
"Cgodm-CLP2359_TMP41B_trinityContig34779_-_CDS","Nontoxin","NT",69.19,84.27,157.27,176.98,95.62,55.41,106.4567
"Cgodm-CLP2359_TMP59_trinityContig28098_-_CDS","Nontoxin","NT",114.53,134.4,193.76,212.3,184.4,191.37,171.7933
"Cgodm-CLP2359_TMP97_ngenContig271_-_CDS","Nontoxin","NT",31.64,42.03,53.28,149.1,52.25,68.59,66.1483
"Cgodm-CLP2359_TRIQK_trinityContig18770_-_CDS","Nontoxin","NT",15.33,46.05,22.33,46.54,9.81,22.12,27.03
"Cgodm-CLP2359_Thioredoxin-2_trinityContig18565_-_CDS","Nontoxin","NT",12.51,32.89,28.14,46.92,23.98,23.37,27.9683
"Cgodm-CLP2359_TraffPP2_trinityContig2437_-_CDS","Nontoxin","NT",6.32,15.66,10.68,23.08,7.64,10.53,12.3183
"Cgodm-CLP2359_TranslocaseOMM_trinityContig26844_-_CDS","Nontoxin","NT",46.98,99.64,106.56,176.16,92.51,236.23,126.3467
"Cgodm-CLP2359_Translocator_trinityContig36569_-_CDS","Nontoxin","NT",24.58,33.07,43.32,120.83,58.23,83.1,60.5217
"Cgodm-CLP2359_TrypRch_trinityContig33899_-_CDS","Nontoxin","NT",2.55,6.57,6.34,21.1,7.1,7.89,8.5917
"Cgodm-CLP2359_TumorDiffExp2_trinityContig12675_-_CDS","Nontoxin","NT",20.91,29.62,26.02,41.21,29.3,55.92,33.83
"Cgodm-CLP2359_TwistedGastrulation_trinityContig35380_-_CDS","Nontoxin","NT",12.01,8.3,11.13,19.03,6.43,13.32,11.7033
"Cgodm-CLP2359_UNC50-1_trinityContig5092_-_CDS","Nontoxin","NT",3.48,11.17,10.31,20.32,6.81,9.78,10.3117
"Cgodm-CLP2359_UPF0639_trinityContig19617_-_CDS","Nontoxin","NT",21.13,11.92,17.52,8.62,4.28,12.24,12.6183
"Cgodm-CLP2359_UpregSkMuGrth5_trinityContig36499_-_CDS","Nontoxin","NT",54.81,102.72,189.89,494.57,110.6,69.68,170.3783
"Cgodm-CLP2359_ZIP10_trinityContig7311_-_CDS","Nontoxin","NT",92.38,28.5,64.06,73.79,47.1,11.53,52.8933
"Cgodm-CLP2359_ZIP11_trinityContig20955_-_CDS","Nontoxin","NT",141.16,196.05,202.63,162.82,144.31,240.25,181.2033
"Cgodm-CLP2359_ZIP9_ngenContig1927_-_CDS","Nontoxin","NT",44.7,51.51,43.9,33.81,35.5,44.22,42.2733
"Cgodm-CLP2359_ZincTran5_trinityContig28054_-_CDS","Nontoxin","NT",41.8,80.15,91.98,93.04,69.87,130.94,84.63
"Cgodm-CLP2359_dsRNAStauf1_trinityContig18101_-_CDS","Nontoxin","NT",17.18,30.12,24.97,36.55,38.25,46.83,32.3167
"Cgodm-CLP2359_mOxoisovalerateDH-b_trinityContig32982_-_CDS","Nontoxin","NT",9.32,20.26,21.88,39.13,17.87,30.65,23.185
"Cgodm-CLP2359_mRp63_trinityContig19999_-_CDS","Nontoxin","NT",8.87,15.11,8.19,87.78,9.07,38.55,27.9283
"Cgodm-CLP2359_mRpL33_trinityContig6890_-_CDS","Nontoxin","NT",11.38,16.64,23.6,44.56,11.62,17.4,20.8667
"Cgodm-CLP2359_selenoproteinU_trinityContig1888_-_CDS","Nontoxin","NT",13.5,53.96,18.83,89.85,40.96,82.26,49.8933
"Cgodm-CLP2359_tcellImm_trinityContig16516_-_CDS","Nontoxin","NT",14.35,22.64,24.01,26.04,22.24,23.66,22.1567
"Cgodm-CLP2360_28SribS36_trinityContig29753_-_CDS","Nontoxin","NT",5.56,22.79,14.42,58.97,13.11,50.19,27.5067
"Cgodm-CLP2360_ADP-Ribosylation1-1_trinityContig40714_-_CDS","Nontoxin","NT",3.9,5.63,3.25,12.33,7.1,3.59,5.9667
"Cgodm-CLP2360_ADP-ribosylArgHydrolase_trinityContig33346_-_CDS","Nontoxin","NT",9.7,13.02,12.05,28.12,8.69,13.1,14.1133
"Cgodm-CLP2360_AGAT2_trinityContig44213_-_CDS","Nontoxin","NT",10.39,27.04,30.28,26.65,11.08,42.62,24.6767
"Cgodm-CLP2360_AcylCoADeh_trinityContig4840_-_CDS","Nontoxin","NT",8.35,8.83,17.81,5.81,16.03,9.5,11.055
"Cgodm-CLP2360_AdenosineTrans2_trinityContig10895_-_CDS","Nontoxin","NT",2.26,8.44,8.56,4.26,4.15,7.06,5.7883
"Cgodm-CLP2360_BRCA1-1_trinityContig19538_-_CDS","Nontoxin","NT",4.74,7.21,8.93,11.88,12.51,14.04,9.885
"Cgodm-CLP2360_BrainI3_trinityContig16055_-_CDS","Nontoxin","NT",12.45,10.06,10.04,22.65,21.08,32.67,18.1583
"Cgodm-CLP2360_C11orf67_trinityContig21182_-_CDS","Nontoxin","NT",10.2,7.33,6.97,58.27,4.65,37.18,20.7667
"Cgodm-CLP2360_C12orf73_trinityContig42940_-_CDS","Nontoxin","NT",7.59,4.85,0,7.69,27.08,0,7.8683
"Cgodm-CLP2360_C17orf89_trinityContig8718_-_CDS","Nontoxin","NT",8.62,8.08,20.12,12.55,2.81,6.05,9.705
"Cgodm-CLP2360_C1orf31_trinityContig2231_-_CDS","Nontoxin","NT",0,32.08,34.58,27.91,11.19,19.02,20.7967
"Cgodm-CLP2360_C3orf78_trinityContig6354_-_CDS","Nontoxin","NT",7.18,31.89,19.08,57.33,15.88,13.88,24.2067
"Cgodm-CLP2360_C5orf43_trinityContig7744_-_CDS","Nontoxin","NT",5.35,22.71,23.89,49.29,18.09,47.22,27.7583
"Cgodm-CLP2360_CCDC134_trinityContig37092_-_CDS","Nontoxin","NT",8.59,27.52,32.24,27.95,21.76,22,23.3433
"Cgodm-CLP2360_CD3-g_trinityContig42314_-_CDS","Nontoxin","NT",22.63,13.91,21.47,48.43,18.2,16.2,23.4733
"Cgodm-CLP2360_CdK2_trinityContig938_-_CDS","Nontoxin","NT",8.02,14.26,13.61,24.7,7.34,13.87,13.6333
"Cgodm-CLP2360_Chromobox3-1_trinityContig25337_-_CDS","Nontoxin","NT",3.87,15.63,10.51,28.69,13.85,21.03,15.5967
"Cgodm-CLP2360_Corn4_trinityContig40786_-_CDS","Nontoxin","NT",4.27,16.5,12.79,26.86,9.55,10.67,13.44
"Cgodm-CLP2360_Cornichon_trinityContig6178_-_CDS","Nontoxin","NT",9.26,33.97,32.31,26.8,28.22,39.25,28.3017
"Cgodm-CLP2360_CycCO6B1_ngenContig2552_-_CDS","Nontoxin","NT",88.42,92.11,108.45,183.26,134.29,199.05,134.2633
"Cgodm-CLP2360_CysProt-ATG4A_trinityContig18934_-_CDS","Nontoxin","NT",6.99,16.96,13.02,26.5,20.6,12.84,16.1517
"Cgodm-CLP2360_CytCO5B_trinityContig28675_-_CDS","Nontoxin","NT",68.81,103.15,166.34,419.77,120.84,172.71,175.27
"Cgodm-CLP2360_DNABindingDeath2_trinityContig10671_-_CDS","Nontoxin","NT",14.17,15.92,19.09,37.57,26.92,37.43,25.1833
"Cgodm-CLP2360_Dioxygenase_trinityContig31755_-_CDS","Nontoxin","NT",5.99,7.25,9.7,19.12,4.77,23.03,11.6433
"Cgodm-CLP2360_ES1_trinityContig3196_-_CDS","Nontoxin","NT",1.69,6.02,4.26,9.37,2.61,11.63,5.93
"Cgodm-CLP2360_EndophilinB1_trinityContig37087_-_CDS","Nontoxin","NT",10.57,27.74,26.48,59.36,34,46.07,34.0367
"Cgodm-CLP2360_ErgosterolBioSyn-28_trinityContig34768_-_CDS","Nontoxin","NT",2.53,5.01,12.62,10.26,3.59,8.91,7.1533
"Cgodm-CLP2360_EvoToll_trinityContig27031_-_CDS","Nontoxin","NT",5.19,11.62,14.73,22.55,13.6,25.96,15.6083
"Cgodm-CLP2360_G6PNATrans_trinityContig31669_-_CDS","Nontoxin","NT",4.75,13.75,17.38,39.18,19.81,24.42,19.8817
"Cgodm-CLP2360_GCR2Suppressor_trinityContig23057_-_CDS","Nontoxin","NT",4.49,12.14,8.73,24.89,11.08,38.46,16.6317
"Cgodm-CLP2360_GOT1B_trinityContig34813_-_CDS","Nontoxin","NT",7.77,23.79,21.43,19.32,33.18,30.79,22.7133
"Cgodm-CLP2360_GolgipHReg_trinityContig23471_-_CDS","Nontoxin","NT",4.76,10.25,10.38,8.42,7.66,18.02,9.915
"Cgodm-CLP2360_HypPro2_trinityContig36876_-_CDS","Nontoxin","NT",3.22,8.98,9.97,23.28,7.56,12.28,10.8817
"Cgodm-CLP2360_InsulinGF-5_trinityContig38812_-_CDS","Nontoxin","NT",2.48,3.76,4.52,5.99,3.06,10.15,4.9933
"Cgodm-CLP2360_LOC100472209_trinityContig15018_-_CDS","Nontoxin","NT",0,5.43,2.55,1.51,7.71,1.43,3.105
"Cgodm-CLP2360_LOC4205791_trinityContig8076_-_CDS","Nontoxin","NT",4.64,10.03,5.34,23.94,12.13,21.88,12.9933
"Cgodm-CLP2360_MgTransporter-NIPA2-1_trinityContig42644_-_CDS","Nontoxin","NT",4.17,4.25,8.29,19.46,7.69,11.39,9.2083
"Cgodm-CLP2360_Mimecan_trinityContig12976_-_CDS","Nontoxin","NT",4.53,20.72,12.9,11.66,7.49,34.17,15.245
"Cgodm-CLP2360_MitFissionReg1_ngenContig1164_-_CDS","Nontoxin","NT",17.74,48.72,54.47,46.45,42.73,43.54,42.275
"Cgodm-CLP2360_NADHDehydro-1a11_trinityContig8670_-_CDS","Nontoxin","NT",12.84,18.49,28.16,34.3,20.34,27.37,23.5833
"Cgodm-CLP2360_NMD3_trinityContig21220_-_CDS","Nontoxin","NT",3.39,9.52,8.4,15.35,6.41,17.33,10.0667
"Cgodm-CLP2360_NTF2-1_trinityContig22201_-_CDS","Nontoxin","NT",5.49,7.52,9.34,23.73,14.51,22.49,13.8467
"Cgodm-CLP2360_ORM1-1_trinityContig18554_-_CDS","Nontoxin","NT",3.65,7.52,7.48,15.33,6.56,13.14,8.9467
"Cgodm-CLP2360_PDI-A5_trinityContig2971_-_CDS","Nontoxin","NT",11.88,25.6,24.59,40.79,22.01,52.69,29.5933
"Cgodm-CLP2360_PDZK1-1_trinityContig30365_-_CDS","Nontoxin","NT",3.78,13.46,15.39,17.46,13.18,19.31,13.7633
"Cgodm-CLP2360_PINAGT-Y_trinityContig31996_-_CDS","Nontoxin","NT",2.15,16.15,26.82,18.82,16.88,42.33,20.525
"Cgodm-CLP2360_Peroxiredoxin4_trinityContig40769_-_CDS","Nontoxin","NT",173.68,225.61,334.84,320.6,290.66,345.67,281.8433
"Cgodm-CLP2360_Proteasome-b5_ngenContig300_-_CDS","Nontoxin","NT",18.95,26.98,22.42,76.58,69.43,41.01,42.5617
"Cgodm-CLP2360_RNABinding47_trinityContig23761_-_CDS","Nontoxin","NT",19.97,19.77,31.52,43.61,39.3,37.59,31.96
"Cgodm-CLP2360_RNAProccessing-EBP2_trinityContig1793_-_CDS","Nontoxin","NT",4.37,6.39,6.75,22.45,9.96,18.73,11.4417
"Cgodm-CLP2360_RhombDom1_trinityContig8093_-_CDS","Nontoxin","NT",3.9,8.68,8.03,9.5,10.98,13,9.015
"Cgodm-CLP2360_RnaPolIIIH_trinityContig7931_-_CDS","Nontoxin","NT",1.65,2.72,2.88,2.74,2.2,9.53,3.62
"Cgodm-CLP2360_SAR1b_trinityContig22738_-_CDS","Nontoxin","NT",7.48,19.77,15.52,28.11,28.5,27.55,21.155
"Cgodm-CLP2360_SEC14-1_trinityContig2288_-_CDS","Nontoxin","NT",6.85,13.5,12.84,24.04,10.9,27.43,15.9267
"Cgodm-CLP2360_SFT2B_trinityContig43236_-_CDS","Nontoxin","NT",4.08,8.48,7.33,18.95,6.81,16.03,10.28
"Cgodm-CLP2360_SYS1_trinityContig13638_-_CDS","Nontoxin","NT",2.12,3.12,6.43,3.53,2.24,2.01,3.2417
"Cgodm-CLP2360_Sulfatase2_trinityContig28652_-_CDS","Nontoxin","NT",7.74,13.78,19.59,31.59,15.16,31.35,19.8683
"Cgodm-CLP2360_Sulfotransferase6B1_trinityContig8875_-_CDS","Nontoxin","NT",1.66,35.41,40.44,67.82,13.15,91.27,41.625
"Cgodm-CLP2360_Surfeit4-1_trinityContig13156_-_CDS","Nontoxin","NT",5.29,13.87,13.02,46.66,18.51,21.5,19.8083
"Cgodm-CLP2360_TMP-106B_trinityContig36481_-_CDS","Nontoxin","NT",15.46,18.48,16.19,29.18,27.39,33.58,23.38
"Cgodm-CLP2360_TMP-126A_trinityContig12586_-_CDS","Nontoxin","NT",26.54,21.1,21.67,62.7,27.53,41.45,33.4983
"Cgodm-CLP2360_TMP-63A_trinityContig38877_-_CDS","Nontoxin","NT",6.01,12.71,15.05,12.67,8.97,11.32,11.1217
"Cgodm-CLP2360_TMP18_trinityContig35708_-_CDS","Nontoxin","NT",5.25,15.64,13.64,17.8,6.54,15.19,12.3433
"Cgodm-CLP2360_Tetraspanin-1_ngenContig1706_-_CDS","Nontoxin","NT",3.46,19.23,8.03,68.64,5.16,35.3,23.3033
"Cgodm-CLP2360_Tim23_trinityContig25291_-_CDS","Nontoxin","NT",14.24,30.72,33.85,80.08,73.37,46.36,46.4367
"Cgodm-CLP2360_Trafficking6B_trinityContig5313_-_CDS","Nontoxin","NT",4.16,16.29,12.6,40.09,13.9,9.82,16.1433
"Cgodm-CLP2360_TumorNecrosis1A_trinityContig1754_-_CDS","Nontoxin","NT",6.77,16.68,10.54,29.75,12.88,31.19,17.9683
"Cgodm-CLP2360_ZF-330_trinityContig23494_-_CDS","Nontoxin","NT",9.72,21.01,20.4,48.83,10.91,38.02,24.815
"Cgodm-CLP2360_ZFSwim7_trinityContig1310_-_CDS","Nontoxin","NT",6.12,3.91,13.13,9.79,10.27,5.91,8.1883
"Cgodm-CLP2360_calmegin_trinityContig35431_-_CDS","Nontoxin","NT",3.4,12.09,10.96,10.37,8.03,1.73,7.7633
"Cgodm-CLP2360_mFumarateHydratase_trinityContig8024_-_CDS","Nontoxin","NT",22.07,60.81,32.54,70.07,44.52,101.28,55.215
"Cgodm-CLP2360_mRpL50_trinityContig28860_-_CDS","Nontoxin","NT",7.75,19.01,17.65,55.37,12.87,44.78,26.2383
"Cgodm-CLP2360_mRpL55_trinityContig43877_-_CDS","Nontoxin","NT",2.5,8.27,14.01,19.6,27.95,18.58,15.1517
"Cgodm-CLP2360_mUniquinone8_trinityContig42423_-_CDS","Nontoxin","NT",10.71,17.75,34.83,20.75,15.45,38.03,22.92
