"","formula","Chisquared","p.value","id","aic"
"35","Tajima$tajimasD ~ Tajima$class",0.000351784689880522,0.204608464354659,"Synonymous TD ~ class","NA"
"36","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm)",0.00889115775396578,0.444360831570726,"TOXINS Synonymous TD all ~ expression","174.401938890292"
"37","lt0$tajimasD ~ log(lt0$average_tpm)",0.0566584904173475,0.189560195973273,"TOXINS Synonymous TD lower than 0 ~ expression","46.6695798255439"
"38","gt0$tajimasD ~ log(gt0$average_tpm)",0.0821999274010453,0.155598360375053,"TOXINS Synonymous TD greater than 0 ~ expression","42.2343194796778"
"39","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm) + Tajima_tox$toxin_family",0.326014035668261,0.121390117781675,"TOXINS Synonymous TD all ~ expression + toxin family","178.180113942631"
"40","lt0$tajimasD ~ log(lt0$average_tpm) + lt0$toxin_family",0.419266072559729,0.489139508102317,"TOXINS Synonymous TD lower than 0 ~ expression + toxin family","55.1452382707043"
"41","gt0$tajimasD ~ log(gt0$average_tpm) + gt0$toxin_family",0.283904503280225,0.69685736280272,"TOXINS Synonymous TD greater than 0 ~ expression + toxin family","51.7820022397926"
"42","Tajima_nontox$tajimasD",-17.846909585875,6.82891877183127e-69,"NonToxins Nonynonymous TD t.test","sd = 0.0105528659004481"
"43","Tajima_tox$tajimasD",-0.0551009463781456,0.956222023332078,"Toxins Nonynonymous TD t.test","sd = 0.0938685169243935"
"44","Tajima$tajimasD ~ Tajima$class",0.000975017221546921,0.0346687338847776,"Nonsynonymous TD (non normal**) ~ class ","NA"
"45","Tajima$tajimasD by Tajima$class",1.84004774522137,0.174945351319819,"Nonsynonymous TD ~ class, Kruskal test","NA"
"46","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm)",0.0461601769873863,0.0785002561575316,"TOXINS Nonynonymous TD all ~ expression","159.924099582814"
"47","lt0$tajimasD ~ log(lt0$average_tpm)",0.0653580559010704,0.13826323951924,"TOXINS Nonynonymous TD lower than 0 ~ expression","49.1044501226771"
"48","gt0$tajimasD ~ log(gt0$average_tpm)",0.0151875037019224,0.548653210136535,"TOXINS Nonynonymous TD greater than 0 ~ expression","30.2763726684783"
"49","Tajima_tox$tajimasD ~ log(Tajima_tox$average_tpm) + Tajima_tox$toxin_family",0.223971172277586,0.552386947424098,"TOXINS Nonsynonymous TD all ~ expression + toxin family","175.89528557669"
"50","lt0$tajimasD ~ log(lt0$average_tpm) + lt0$toxin_family",0.411482500752132,0.21270872556147,"TOXINS Nonsynonymous TD lower than 0 ~ expression + toxin family","52.9149604826093"
"51","gt0$tajimasD ~ log(gt0$average_tpm) + gt0$toxin_family",0.496842631419549,0.238140508310335,"TOXINS Nonsynonymous TD greater than 0 ~ expression + toxin family","30.8161173158577"
"52","BUSTED$LRT by BUSTED$class",11.7869457307814,0.000596475161746376,"BUSTED LRT ~ class, Kruskal test","NA"
"53","LRT ~ class",0.00165488093941087,0.00597890684605411,"BUSTED LRT(non normal **) ~ class","NA"
"54","BUSTED$LRT by BUSTED$diff_exprs",0.0625857323935936,0.802454796983399,"BUSTED LRT ~ Dif Exp, Kruskal test","NA"
"55","BUSTED$LRT ~ BUSTED$diff_exprs",0.000390999183821215,0.181624320753739,"BUSTED LRT(non normal **) ~ Dif_Exp","NA"
"56","BUSTED$LRT ~ log(BUSTED$average_tpm)",1.27254417690253e-05,0.809588569156901,"BUSTED LRT ~ expression","13368.0633914217"
"57","BUSTED_tox$LRT and BUSTED_tox$diff_exprs",4.75675859947609,0.0291834571868559,"TOXIN BUSTED LRT ~ Dif Exp, Kruskal test","NA"
"58","BUSTED_tox$LRT ~ BUSTED_tox$diff_exprs",0.0296474374602628,0.160302464161745,"TOXIN BUSTED LRT ~ Dif_Exp","NA"
"59","BUSTED_tox$LRT ~ log(BUSTED_tox$average_tpm)",0.00525436154462754,0.556911957326182,"TOXIN BUSTED LRT ~ expression","248.903945417938"
"60","BUSTED_tox$LRT ~ log(BUSTED_tox$average_tpm) + BUSTED_tox$toxin_family",0.16736193616545,0.835205790882512,"TOXINS BUSTED LRT ~ expression + toxin family","266.807560453312"
